Pamula Rosenbaum, Shellder, camel
Lucio Funk, Vileplume, hound
Byron Lebsack, Lickitung, deer
Johnsie Gottlieb, Poliwag, monkey
Benedict Keebler, Slowpoke, goldfish
Magaret Schroeder, Jolteon, trout
Ollie Pollich, Alakazam, rabbit
Chantay Beatty, Snorlax, weasel
Boyce Schowalter V, Seadra, kangaroo
Mr. Jay O'Conner, Pinsir, mosquito
Lien Wuckert, Meowth, gnat
Stevie Botsford, Charmeleon, termite
Kenda Fritsch, Poliwhirl, mammoth
Darius Labadie, Bellsprout, gnat
Eloy Grimes MD, Poliwrath, seal
Mr. Hilda Ullrich, Rhyhorn, spider
Mr. Golda Bayer, Voltorb, bear
Israel Goodwin IV, Shellder, wolf
Ramon Windler PhD, Geodude, badger
Shaneka Streich Sr., Charmeleon, woodchuck
Kum Stoltenberg, Pinsir, scorpion
Shad Wiegand, Spearow, gnu
Shaunte Kautzer, Moltres, alligator
Mayola Nolan V, Nidoking, rat
Bethanie Watsica, Cloyster, deer
Elise Brakus, Gyarados, zebra
Shasta Yundt PhD, Slowbro, snake
Shane Vandervort, Haunter, alligator
Judson Hills Jr., Dragonair, chimpanzee
Donald Koss, Dratini, tortoise
Chantelle Kozey II, Tentacool, porcupine
Leonel Gerlach DVM, Pinsir, armadillo
Kanisha Monahan, Butterfree, crocodile
Illa Pfeffer, Paras, llama
Lavinia McLaughlin, Golbat, toad
Reggie Hahn Sr., Bellsprout, alligator
Jewel Hessel, Nidoking, mouse
Loyd Bergnaum, Dragonair, serval
Margareta Cummerata, Haunter, beaver
Norman Kovacek, Clefairy, mule
Benton Smith, Pidgey, mallard
Genia Mertz, Wartortle, caribou
Mr. Hai Dibbert, Kangaskhan, manatee
Ines Howell, Electabuzz, raccoon
Mrs. Ronnie Hessel, Articuno, buffalo
Karlene Pfeffer, Kakuna, trout
Johnetta Stamm, Scyther, wombat
Lou Grant, Golem, hound
Tora Gutkowski, Geodude, cheetah
Ms. Barry Christiansen, Tangela, camel
