Contessa Parker DVM, Ponyta, toad
Mickey Schulist, Dratini, platypus
Sylvia Collins, Venonat, sheep
Santos Hayes, Venusaur, mole
Ms. Keneth Larkin, Raichu, cod
Nathaniel Hand, Venonat, bee
Elbert Prosacco, Rattata, eagle
Aiko Gleason, Vaporeon, porpoise
Belkis Goyette, Weepinbell, mouse
Riva Hirthe, Gengar, wolf
Thanh Conroy, Raichu, pig
Lucas VonRueden, Farfetch'd, bear
Mr. Otto Funk, Cloyster, ape
Mr. Layla Lynch, Sandslash, deer
Lon Dietrich, Weedle, grasshopper
Yulanda Oberbrunner, Fearow, camel
Kirby Klocko II, Nidoran, gerbil
Zane Rippin, Eevee, tortoise
Barbera Schowalter, Wigglytuff, frog
Mr. Gerardo Effertz, Haunter, raven
Cecily Orn V, Pikachu, wombat
Margareta Konopelski MD, Nidorino, gnat
Gail Pouros DVM, Abra, guinea pig
Synthia Greenfelder, Spearow, louse
Clayton Schulist, Horsea, cattle
Alisa Yundt, Arcanine, dinosaur
Lee Cole, Parasect, squirrel
Porfirio Heidenreich, Tangela, squirrel
Vasiliki Hintz, Omastar, ferret
Guadalupe Ernser, Poliwrath, yellowjacket
Dr. Loren Bayer, Articuno, lion
Spencer White, Blastoise, cicada
Shelba O'Conner, Nidoran, hedgehog
Hector Watsica, Abra, goldfish
Edwin Padberg Jr., Paras, woodchuck
Romaine Langworth, Goldeen, cheetah
Dylan Bruen II, Lapras, platypus
Janey Gleason IV, Rattata, wasp
Wilton Osinski, Koffing, beetle
Charla Metz V, Fearow, mole
Joel Windler, Ninetales, wombat
Nadine Wunsch DDS, Omanyte, gorilla
Marisol Aufderhar MD, Magmar, porcupine
Dr. Temeka VonRueden, Wigglytuff, spider
Samuel Harber MD, Kabuto, fly
Adria O'Keefe, Pidgeot, alligator
Otis Kiehn, Cloyster, fox
Lavette Schumm, Weepinbell, rat
Imogene Cronin II, Ekans, mouse
Kayla Lakin, Oddish, panda
