Dr. Gwenn Kerluke, Omanyte, eagle
Tyron Feeney, Dragonite, cat
Bruce Marks, Nidoking, ox
Lura Rippin, Gloom, dolphin
Harris Wolff, Jolteon, monkey
Jason Hermiston, Machamp, salmon
Brett Friesen, Kadabra, hamster
Angelo Gaylord, Scyther, jackal
Ceola Dickinson, Raichu, armadillo
Celia Pollich, Tentacruel, gnat
Mao Cummerata, Mew, swan
Dominga Kemmer, Venusaur, jellyfish
Heriberto Graham, Gyarados, hyena
Aurora Harvey, Kadabra, shark
Olinda Cruickshank, Exeggutor, fish
Lee Langworth, Victreebel, shark
Creola Witting, Dodrio, fox
Sherell Reinger, Doduo, deer
Dr. Leon Wisozk, Cubone, rhinoceros
Jonas Schamberger, Slowpoke, wombat
Emilio Spencer, Wigglytuff, raccoon
Danica Parker MD, Omastar, squirrel
Miss Cliff Grant, Weedle, chimpanzee
Abdul Price, Abra, duck
Esteban Senger PhD, Abra, dinosaur
Ricky Schamberger, Bulbasaur, zebra
Cruz Tremblay, Fearow, minnow
Robbie Ankunding II, Weezing, leopard
Kyle Huel, Clefairy, cricket
Jada Hartmann II, Muk, platypus
Cassy Runolfsdottir, Voltorb, ant
Hsiu Cummerata, Wartortle, ape
Cecilia Hamill, Gengar, water buffalo
Mrs. Carlton Wilkinson, Starmie, cattle
Eli Stiedemann DVM, Rhydon, koala
Shaun Feeney, Magikarp, scorpion
Christia Powlowski II, Horsea, louse
Bo Kilback, Paras, grasshopper
Matthew Altenwerth, Koffing, beaver
Karoline Trantow, Golbat, squirrel
Mr. Delmer Grimes, Wartortle, trout
Hung Langworth, Bulbasaur, coyote
Bok Rempel, Metapod, moose
Rodney Sporer PhD, Poliwhirl, yellowjacket
Corene Rempel, Dragonair, oyster
Bethel Bauch, Kadabra, weasel
Leon Yundt Jr., Primeape, buffalo
Carol Hyatt II, Beedrill, deer
Mirella Hessel MD, Mr. Mime, yak
Melida Lynch DVM, Rapidash, butterfly
