Jess Will, Nidorina, fox
Olin Jakubowski, Parasect, wallaby
Kieth Greenfelder Jr., Magnemite, toad
Johnie Cummings, Rapidash, elk
Emmanuel Rutherford Jr., Dragonair, spider
Marilynn Schaefer, Persian, dog
Noble Wolf III, Paras, beetle
Brady Cronin, Primeape, mink
Kena Littel, Caterpie, wildebeest
Vincent Morissette, Sandslash, muskrat
Latoya Toy, Electabuzz, porpoise
Ms. Noble Shields, Haunter, raccoon
Torrie Parisian, Horsea, scorpion
Katharyn Mitchell, Bulbasaur, swan
Mr. Colton Schaefer, Seadra, jackal
Toccara Mosciski, Abra, kangaroo
Mauricio Bailey, Zubat, bear
Soila Dare, Haunter, kangaroo
Manual Hamill DVM, Nidoqueen, turtle 
Emmaline Langworth V, Pinsir, muskrat
Quinton Pollich PhD, Rattata, cheetah
Eldridge Schultz, Dugtrio, mink
Mack Grady V, Kabuto, coyote
Clifford Bechtelar IV, Shellder, hedgehog
Miss Nelly Hills, Koffing, raven
Lon Morissette, Weedle, raccoon
Janna Veum, Nidoking, camel
Dirk Friesen IV, Poliwag, cat
Mrs. Assunta Abshire, Gyarados, mammoth
Ha Pollich, Victreebel, ant
Mason Lebsack I, Nidorina, shark
Anitra Ferry, Goldeen, scorpion
Aurelia Konopelski, Machoke, worm
Makeda Ankunding, Butterfree, fish
Mrs. Jamika Hermiston, Pidgeot, caribou
Mrs. Pamula Wisozk, Ekans, skunk
Phil Lockman, Articuno, water buffalo
Wendell Bashirian, Persian, jackal
Buck O'Keefe, Dugtrio, cricket
Jermaine Pfannerstill, Gloom, pug
Luke Kihn, Magnemite, giraffe
Leonora Bartell, Marowak, monkey
Karyl Carter, Venomoth, mouse
Billye Prohaska, Golbat, mosquito
Buford Zieme, Wigglytuff, caribou
Ron Romaguera III, Tauros, raccoon
Rigoberto Rath, Goldeen, cheetah
Elin Hermiston, Horsea, dolphin
Cornelia Bayer, Raichu, cicada
Thuy Shields DDS, Dewgong, cockroach
