Janiece Cronin, Tentacool, raccoon
Ms. Rowena Nitzsche, Farfetch'd, gnat
Rory Kreiger Jr., Magikarp, crab
Layne Bechtelar, Gyarados, cockroach
Concha Purdy, Seadra, donkey
Mr. Hilda Schmeler, Krabby, crow
Griselda Wintheiser, Caterpie, deer
Frances Cruickshank, Sandshrew, mosquito
Berry Steuber II, Electabuzz, lion
Isaias Kessler, Metapod, coyote
Cherilyn Koch Jr., Jynx, worm
Mrs. Tilda Oberbrunner, Articuno, coyote
Les Stehr, Magneton, crow
Maura Jacobson, Pidgey, spider
Mr. Charley Collins, Gloom, badger
Ken Spencer, Aerodactyl, guinea pig
Dr. Eugene Swift, Articuno, cicada
Jeanette Buckridge, Raichu, cockroach
Morton Treutel, Doduo, walrus
Gia Nitzsche, Bulbasaur, baboon
Heidy Donnelly, Magneton, termite
Cedrick Wuckert, Growlithe, goldfish
Charita Bruen, Dugtrio, mouse
Jerrell Herzog, Ekans, mosquito
Rudolf Langworth, Shellder, badger
Mr. Dolores O'Hara, Machamp, koala
Mrs. Michel Sipes, Starmie, seal
Keli King, Starmie, caribou
Shelly Bode, Scyther, jellyfish
George Lehner, Flareon, snake
Lenny Bashirian, Butterfree, spider
Luciano Hodkiewicz III, Nidorino, fish
Brandon Crooks, Mr. Mime, butterfly
Melody Rolfson, Chansey, crocodile
Lon Abbott, Nidoran, cattle
Dee Ernser Jr., Golduck, snail
Alberto Donnelly, Charizard, gorilla
Victor Waters, Shellder, minnow
Heike Oberbrunner, Marowak, spider
Dustin Satterfield, Jolteon, dinosaur
Lyle Rutherford V, Dratini, manatee
Horace Ryan I, Zapdos, beetle
Christine Thiel V, Farfetch'd, termite
Nelson Braun, Zubat, platypus
Andres O'Kon, Kadabra, cattle
Talitha Feil, Nidoran, wallaby
Cleotilde Fisher, Grimer, bee
Paris Little, Venonat, giraffe
Miss Charmain Wisozk, Dewgong, gnu
Houston Cartwright, Vileplume, dog
