Maurice O'Hara, Raticate, bee
Nicky Legros, Machop, butterfly
Willodean McDermott, Ekans, goose
Mr. Wonda Gislason, Cubone, hare
Vernia Reichert V, Articuno, mule
Ms. Rich Jakubowski, Mr. Mime, bat
Jeanetta Langworth, Voltorb, cheetah
Celestine Satterfield, Porygon, camel
Murray Cole, Geodude, mule
Marcie Klein, Ponyta, herring
Millard Funk, Oddish, termite
Ms. Danyelle DuBuque, Venonat, panda
Omar McKenzie, Lickitung, crow
Miss Jessie Bosco, Beedrill, crab
Tyesha Schinner, Seaking, goldfish
Miss Craig Schroeder, Alakazam, snake
Jean Heaney Sr., Moltres, gnat
Maile Nader, Doduo, sardine
Eneida West, Aerodactyl, eel
Cleopatra Skiles Sr., Dratini, crow
Emile Macejkovic MD, Muk, gnat
Alison Williamson, Poliwhirl, bat
Carin Kunde, Caterpie, macaw
Elmer Raynor, Tentacruel, cheetah
Nereida Reichel, Golem, jackal
Fletcher O'Reilly, Dragonite, ape
Terrell Bruen, Geodude, lizard
Lou Brakus, Scyther, oyster
Rosia Kemmer, Electabuzz, grasshopper
Mr. Genaro Lesch, Victreebel, tortoise
Coreen Jakubowski, Sandslash, camel
Blossom Metz DVM, Magmar, platypus
Mae Hamill, Dragonair, cricket
Lannie Schinner, Ninetales, skunk
Wilhelmina Huel DDS, Machoke, moose
Dr. Hilma O'Conner, Machoke, shark
Mrs. Kimberli Mueller, Seel, cockroach
Mrs. Luigi Welch, Rhydon, goose
Fidela Langworth, Victreebel, reindeer
Thao Kunze, Gastly, salmon
Ione Pollich, Golbat, tortoise
Cristobal Blanda, Rhydon, camel
Kimberlee Strosin, Onix, turtle 
Arturo Graham, Shellder, rat
Shanice Abshire, Vulpix, fox
Malinda Gutmann PhD, Mr. Mime, panda
Judson Heidenreich, Articuno, dolphin
Ms. Tania Flatley, Exeggcute, dolphin
Joe Purdy, Vaporeon, skunk
Murray Predovic IV, Omastar, worm
