Willis Gerhold, Articuno, worm
Brock Sawayn, Kadabra, gorilla
Geri Bode, Marowak, spider
Zachariah Klein III, Lickitung, macaw
Darrin Anderson V, Spearow, cat
Ms. Wayne Price, Dugtrio, water buffalo
Miss Elton Gislason, Vileplume, wallaby
Mr. Bertram Reynolds, Dratini, hedgehog
Siu Block, Poliwhirl, yellowjacket
Ms. Trevor Weissnat, Moltres, eagle
Noel Kassulke, Doduo, louse
Jay Kiehn, Rhyhorn, serval
Priscilla Ryan, Seadra, jellyfish
Garrett Morar Sr., Gengar, jackal
Ms. Kaleigh Barrows, Voltorb, badger
Daryl Parisian, Magneton, wombat
Chester Gislason, Wigglytuff, jackal
Bernarda O'Kon, Diglett, otter
Francesco Labadie, Parasect, elk
Eugenia Farrell, Gastly, mink
Hosea Howell, Machamp, termite
Jess Tremblay, Shellder, worm
Manuel Dooley, Seaking, armadillo
Fabian Kuhn, Kingler, giraffe
Detra Weimann, Pidgeotto, sardine
Carlie Schulist, Blastoise, yellowjacket
Michiko Mohr, Psyduck, moose
Doretta Hand, Voltorb, elk
Verdell Gerlach, Rattata, baboon
Mervin Ritchie, Dragonair, antelope
Fritz Kunze PhD, Tangela, whale
Marshall Bashirian, Voltorb, sea lion
Tesha Wiza, Wartortle, hornet
Stanley Lang, Ditto, ox
Providencia Erdman II, Farfetch'd, gnu
Miss Cleotilde Hauck, Mewtwo, hound
Dr. Jillian Maggio, Pinsir, eagle
Mr. Wyatt Bogan, Machamp, rhinoceros
Lakenya Brown, Pikachu, monkey
Cesar Rogahn, Rhydon, panda
Mrs. Cedric Mayert, Electabuzz, scorpion
Hayden Muller, Machop, walrus
Enriqueta Davis, Squirtle, ox
Lupe Bogan, Ditto, bear
Mrs. Isreal Donnelly, Paras, woodchuck
Ferdinand Blick, Kadabra, yak
Dr. Karry O'Conner, Electabuzz, whale
Kayla Cummings, Squirtle, panda
Minna Green V, Snorlax, camel
Mr. Joseph Reinger, Charizard, rat
