Fermin Hoppe, Cubone, beetle
Louetta Erdman, Omanyte, wolf
Maybelle Hane, Seadra, gerbil
Mr. Maricela Durgan, Rhydon, otter
Mr. Kimi Turner, Dratini, goose
Linwood Rodriguez, Lickitung, mouse
Hai Hoppe, Weezing, gnat
Florentino Kessler, Golduck, duck
Anika Kuphal, Golbat, minnow
Maragret Turcotte, Wigglytuff, mink
Elton Daugherty, Raticate, skunk
Freddy Kshlerin, Squirtle, herring
Fernando Stroman, Growlithe, goldfish
Jacquelyn Zieme, Mankey, macaw
Elly Bednar, Exeggutor, cricket
Mr. Phuong Wilkinson, Machamp, mole
Estell Green, Charmeleon, hare
Gerard Weber, Aerodactyl, cattle
Dionna Bechtelar, Spearow, goose
Krishna Schimmel, Mewtwo, seal
Mao Schoen PhD, Kadabra, crow
Fredericka Purdy, Golduck, bear
Brant Stamm Jr., Mr. Mime, donkey
Antone Olson, Dragonite, hornet
Scott Kertzmann, Cubone, worm
Ernest Gibson, Golduck, elk
Nidia Ledner, Meowth, herring
Tracy Berge III, Snorlax, toad
Bobby Herzog, Pikachu, gnu
Maddie Lakin, Krabby, raven
Grant Glover, Seadra, beaver
Mr. Percy Marquardt, Venusaur, locust
Marsha Baumbach, Dugtrio, swan
Dr. Zachery Johnson, Voltorb, wombat
Miss Veronika MacGyver, Charizard, termite
Lizabeth Herzog, Poliwhirl, salmon
Dr. Ryann Ledner, Charmeleon, raven
Elsie Zboncak, Persian, yellowjacket
September Treutel DVM, Charmander, herring
Malcolm Grimes, Meowth, eel
Clara Feeney, Primeape, guinea pig
Prince Tremblay, Pidgey, ox
Dr. Loren Dicki, Fearow, elephant
Carson Goyette, Pinsir, porcupine
Willis Smith, Tangela, baboon
Eugene Schmeler DVM, Farfetch'd, crab
Mrs. Germaine Schumm, Charizard, rhinoceros
Layla Morissette, Scyther, eel
Debra Cormier, Fearow, zebra
Mrs. Laquanda Kshlerin, Weedle, turtle 
