Ms. Tyron Heathcote, Abra, scorpion
Stephen Ernser, Moltres, water buffalo
Dr. Rutha Botsford, Nidoran, mosquito
Miesha Blick, Graveler, wombat
Efren Stroman, Slowpoke, gerbil
Many Schultz, Omanyte, crocodile
Eduardo Bogan, Nidoqueen, cicada
Merlin Klein, Bulbasaur, dolphin
Shaina Bartell, Hypno, clam
Corrin Waters, Gloom, shark
Hassan Murray, Geodude, wolf
Emerson Torp, Tangela, baboon
King Corwin, Charmeleon, walrus
Rosie Bednar, Machamp, fox
Hailey Tremblay, Haunter, manatee
Teressa Hagenes V, Goldeen, herring
Harrison Pacocha, Machamp, turtle 
Ms. Ivan Runte, Hitmonlee, zebra
Santo Nikolaus, Venonat, worm
Suzann Howe, Shellder, deer
Angel Kunze, Zapdos, koala
Brooks Welch V, Arbok, mule
Brandon Blanda, Sandslash, hedgehog
Mimi Wyman, Jynx, rat
Alysia Rowe, Spearow, bee
Brooks Turner, Raticate, porcupine
Jerrie Steuber, Kadabra, herring
Margherita Armstrong PhD, Pikachu, tortoise
Gonzalo Bruen, Magmar, salmon
Cathie Hayes, Porygon, cicada
Garth Hintz III, Growlithe, bear
Loren Farrell, Rapidash, trout
Donny Keebler, Tentacruel, squirrel
Kristofer Ernser, Hypno, trout
Maurice Kerluke, Blastoise, porpoise
Ryan Senger, Dewgong, elephant
Amado Veum, Drowzee, walrus
Jame Jones, Hitmonlee, crocodile
Randee Lindgren DDS, Exeggutor, wallaby
Sasha Murphy, Haunter, tiger
Abram Graham PhD, Sandshrew, hare
Isaac Quitzon, Gengar, pug
Sha Zboncak, Chansey, yak
Mathew Bode, Shellder, jackal
Amberly Zieme, Zubat, eel
Michael O'Keefe MD, Porygon, seal
Brandon Brekke, Seel, hornet
Yanira Hackett, Rhydon, jackal
Petronila Runolfsdottir V, Wigglytuff, hippopotamus
Denice Schmeler, Arbok, crab
