Ruthanne Lind, Dratini, grasshopper
Minna Windler, Mr. Mime, fly
Mrs. Dean Huels, Kangaskhan, alligator
Nolan Brown, Sandslash, eel
Dr. Orville Veum, Slowpoke, swan
Chantay Crist, Magnemite, otter
Yevette Reynolds, Magneton, tiger
Isaiah Homenick MD, Grimer, leopard
Pamella Ryan Sr., Ninetales, antelope
Carlos Bosco V, Staryu, goldfish
Lora Gutkowski, Oddish, skunk
Todd Larkin, Machop, gnat
Solange Roberts, Zapdos, guinea pig
Sari Grant, Pidgeot, lion
Ms. Jed Yundt, Kabuto, weasel
Elroy Harris, Horsea, worm
Leopoldo Zboncak, Parasect, bee
Domitila Glover, Caterpie, pig
Archie Rogahn V, Venusaur, mouse
Dr. Vanna Bogisich, Voltorb, deer
Mr. Homer Jacobi, Tentacruel, fish
Russ Feil, Mew, otter
Lenny Leffler, Charmeleon, minnow
Jeanetta Beer V, Venusaur, wolf
Deandrea Casper, Rapidash, monkey
Emilio Johnson, Poliwag, alligator
Lasandra Cummings, Snorlax, ox
Alia Hagenes, Clefable, shark
Trinidad Kuhic, Venonat, gnu
Telma Pfannerstill, Hitmonlee, butterfly
Guy Becker, Ditto, dog
Maryetta Daugherty PhD, Wartortle, skunk
Orval Gleichner, Pidgeot, hamster
Dwana Hoppe, Magmar, sheep
Emory Mertz, Vileplume, platypus
Lorenza Hermann, Magnemite, duck
Eusebio Trantow, Magmar, snail
Dr. Raquel Zemlak, Dewgong, raven
Madge Goodwin, Sandslash, muskrat
Leonore Padberg MD, Kakuna, beetle
Ms. Marco Pouros, Sandshrew, antelope
Greg Rolfson, Kakuna, camel
Coletta Donnelly, Persian, walrus
Miss Brittny Marquardt, Lapras, butterfly
Vanetta Ernser V, Starmie, koala
Jacquie Howe, Dragonair, hippopotamus
Maria Howell, Drowzee, clam
Luther Brakus, Krabby, goldfish
Lakita Macejkovic, Oddish, scorpion
Nancee Barton, Onix, water buffalo
