Gwyneth Reynolds, Hitmonchan, hedgehog
Miss Lorene Murazik, Graveler, trout
Miss Kris McLaughlin, Poliwhirl, koala
Francine Lindgren, Lapras, worm
Karisa Ernser, Rhydon, jackal
Burl Harris, Arbok, water buffalo
Dylan Nitzsche, Articuno, yak
Quentin Emmerich, Krabby, porpoise
Miss Shaunta Cremin, Geodude, hyena
Dwayne Luettgen, Weezing, badger
Adrian Borer, Ponyta, salmon
Galen O'Hara, Moltres, goat
Otto Lubowitz, Horsea, mallard
Genna Schinner, Kabuto, zebra
Dr. Noel Lehner, Dragonair, wombat
Kristofer Prohaska, Raichu, prairie dog
Walton Rolfson, Shellder, jackal
Summer Konopelski, Marowak, otter
Arden Mosciski, Caterpie, donkey
Josef Powlowski, Pidgeotto, elephant
Mr. Leila Lubowitz, Gloom, clam
Marlon Pollich, Caterpie, goat
Viki Beatty, Pidgeot, sea lion
Miss Harry Leuschke, Muk, beaver
Freeman Muller, Machoke, beaver
Brock Kris, Goldeen, muskrat
Marty Bayer, Golem, reindeer
Lasandra Lockman, Golbat, ox
Erasmo Jast I, Alakazam, worm
Lasandra Metz, Caterpie, koala
Tonya Lindgren, Lickitung, hound
Cathern Dibbert, Rhydon, monkey
Mrs. Sirena O'Reilly, Golbat, sea lion
Dario Marks Sr., Meowth, chinchilla
Shelton Schaefer, Metapod, dinosaur
Freddy Zieme, Rhydon, monkey
Adrian Blanda, Rhyhorn, swan
Kristian Nienow MD, Clefable, bee
Rosalie Connelly, Tentacruel, salmon
Lyn Rowe, Psyduck, gerbil
Carmen Doyle PhD, Bulbasaur, bat
Jc Leffler, Cloyster, yak
Lenard Hayes, Bellsprout, yak
Sam Windler, Pikachu, trout
Mauro Wisoky, Omanyte, elk
Kelley Larkin, Arbok, tiger
Ms. Aileen Hagenes, Rhydon, guinea pig
Graham Koss, Meowth, buffalo
Pablo Marvin, Dewgong, leopard
Susann Haley MD, Goldeen, beaver
