Jimmy Klein III, Rapidash, ferret
Nick Goodwin, Meowth, weasel
Emilio Medhurst, Gloom, swan
Royce Krajcik, Magikarp, gerbil
Tommie Wehner, Flareon, mole
Gilberto Nikolaus, Aerodactyl, cockroach
Joanie Powlowski PhD, Fearow, hornet
Jaimee Carter I, Alakazam, turtle 
Nolan Witting, Goldeen, serval
Camilla Von, Victreebel, termite
Laci Schmitt, Kingler, snake
Damion Legros, Pidgeotto, rat
Ray Hand MD, Mr. Mime, louse
Charleen Stracke, Ninetales, chinchilla
Mr. Elene Bashirian, Eevee, mallard
Miss Yulanda Kreiger, Vulpix, otter
Cleotilde VonRueden, Oddish, hippopotamus
Dr. Albert Ratke, Wartortle, hornet
Domingo Kling, Metapod, mosquito
Collin Shanahan, Venomoth, fly
Maryanna Doyle, Magikarp, swan
Guillermo Renner, Snorlax, antelope
Eusebio Reynolds, Zapdos, frog
Antonia Kutch, Moltres, rabbit
Cindie Kuhic, Ninetales, goat
Elsy Flatley, Golbat, macaw
Ms. Albina Mraz, Raichu, pig
Doyle Gislason Jr., Tangela, turtle 
Michele Hessel, Zubat, butterfly
Bernie Abbott, Poliwrath, horse
Justin Mosciski, Lickitung, squirrel
Jamey Kreiger, Bulbasaur, elephant
Cleveland Greenholt MD, Caterpie, deer
Evan Runte, Omastar, minnow
Genna Pfeffer, Kakuna, horse
Arianna Cummings, Jigglypuff, camel
Miss Barrett Blanda, Horsea, gnat
Cleveland Olson IV, Ninetales, cricket
Frederick Kutch, Weezing, raven
Giuseppe Crooks, Growlithe, mallard
Seema Orn, Nidoking, lizard
Jess Rempel, Pinsir, camel
Merrie Littel, Alakazam, cicada
Cecile Farrell, Growlithe, horse
Chassidy Johnston, Arbok, mammoth
Genesis Schowalter DVM, Nidoqueen, mouse
Roy Luettgen, Weepinbell, hare
Dr. Milan Kub, Onix, locust
Victor McKenzie, Poliwhirl, mule
Mr. Ahmad Fritsch, Dugtrio, jellyfish
