Sid Kuhic, Nidorino, reindeer
Dexter Towne, Pikachu, cheetah
Rosalee Lang PhD, Nidoqueen, goat
Stephan Bailey, Alakazam, baboon
Lucas Walker IV, Charmander, porpoise
Marcelo Welch, Charmander, mammoth
Kitty Mitchell, Magikarp, woodchuck
Charmaine Bartell, Dratini, cricket
Deshawn Jerde, Ponyta, elephant
Ms. Amee Steuber, Haunter, prairie dog
Pamula Reinger, Magnemite, muskrat
Benjamin Gleason, Metapod, bee
Fredrick Greenholt, Grimer, chinchilla
Hung Kuhlman, Raticate, mouse
Arden Grady MD, Electabuzz, hedgehog
Rupert West III, Kingler, goldfish
Mr. Audry Connelly, Scyther, dolphin
Corrine Huel, Poliwag, weasel
Derek Batz MD, Mewtwo, zebra
Roberta Greenfelder, Weedle, walrus
Guillermo Bogisich I, Poliwrath, scorpion
Grazyna Walker, Staryu, wallaby
Jenny Waters V, Kingler, goose
Alida Marvin Jr., Bulbasaur, jackal
Julissa Glover, Voltorb, prairie dog
Dr. Marline Borer, Cubone, cheetah
Luana Crist, Hitmonlee, lion
Earle Boehm, Sandslash, seal
Hildegarde Weissnat, Charmander, panda
Rayford Gutkowski, Ditto, grasshopper
Antonina Barrows, Chansey, jackal
Junko Feeney, Kangaskhan, worm
Issac Heller V, Electrode, deer
Dane Carroll, Golduck, crab
Domenic Lind PhD, Slowpoke, pig
Ms. Georgina Koepp, Dragonair, baboon
Fletcher Bogisich, Victreebel, cockroach
Anneliese Hoeger, Wartortle, sheep
Terrance Rice, Charizard, ape
Lynwood Rolfson, Exeggutor, wildebeest
Margy Heidenreich, Haunter, beetle
Iluminada Buckridge, Cloyster, crow
David Skiles IV, Zapdos, walrus
Donnell Cassin II, Charmeleon, rat
Jerrell Gutkowski, Dugtrio, monkey
Antone Smitham III, Chansey, zebra
Launa Moen MD, Oddish, macaw
Miss Barrett Heller, Pidgey, jackal
Paris Wisoky, Magikarp, jellyfish
Birdie Sauer, Arcanine, cricket
