Katharina O'Connell Sr., Meowth, rat
Laurence Heidenreich Jr., Clefable, squirrel
Maya Schiller III, Hitmonlee, trout
Manual Bradtke DDS, Lapras, cricket
Ms. Sebrina Feest, Clefairy, impala
Wilbert McGlynn V, Graveler, sardine
Thanh Bruen, Graveler, hippopotamus
Mrs. Minda Rath, Exeggcute, baboon
Nyla Murray V, Venusaur, mammoth
Latrice Wiza, Jynx, gerbil
Tressa Moen DVM, Dragonite, lizard
Arnold Bechtelar Jr., Hitmonlee, pig
Anderson Ledner, Goldeen, wasp
Glenn O'Hara Jr., Dratini, termite
Ghislaine Hoppe, Shellder, squirrel
Manuela O'Reilly PhD, Gyarados, panda
Dr. Deandra Harvey, Electrode, cod
Dina Yundt, Lickitung, armadillo
Royal Gleason, Poliwag, turtle 
Carlos Kuphal, Seadra, buffalo
Erica Streich IV, Victreebel, wallaby
Barrett Connelly, Charizard, goose
Alex Murray, Graveler, goose
Vern Halvorson, Beedrill, cricket
Beau Rohan, Slowpoke, raccoon
Darell Thompson, Weedle, beaver
Ms. Jasper Senger, Horsea, pig
Rodney Johnson, Dewgong, prairie dog
Debora Parisian I, Ponyta, deer
Brett Schmidt, Doduo, cattle
Crystle Kovacek, Omastar, sheep
Lizzie Trantow, Primeape, jackal
Bok Stamm, Bellsprout, grasshopper
Barbra Weimann IV, Growlithe, sheep
Darryl Fritsch MD, Butterfree, wildebeest
Preston Welch IV, Squirtle, otter
Cheree Labadie, Kakuna, ant
Teofila Bayer, Zubat, raven
Ella Bednar, Oddish, herring
Rashad Welch, Gastly, caribou
Miss Lorna Cremin, Rhydon, monkey
Dillon Glover, Weedle, herring
Daisey Wunsch DDS, Tentacool, frog
Hal Barrows, Onix, mule
Modesto Mills, Haunter, scorpion
Berna Kirlin PhD, Ponyta, wolf
Miss Norbert Morar, Golem, cat
Frankie Reichert PhD, Pidgeot, chimpanzee
Tana Huels MD, Lickitung, lion
Ezra Hamill, Jynx, water buffalo
