Sharyn Purdy, Psyduck, ox
Judson Stoltenberg, Psyduck, gorilla
Rosette Jakubowski Sr., Drowzee, zebra
Ian VonRueden DVM, Pinsir, alpaca
Elvis Kuhn, Nidorino, lion
Royce VonRueden, Clefable, cat
Shanelle Beer, Alakazam, serval
Rosetta Vandervort, Ditto, sheep
Dr. Hector Halvorson, Golem, squirrel
Dollie Schuster, Jolteon, worm
Isaura Windler, Arbok, dinosaur
Erick Koss, Venusaur, cod
Christopher Hand, Kakuna, macaw
Jeramy Kuhn, Cubone, yak
Norberto Bergstrom II, Weedle, shark
Susanne Prohaska, Growlithe, bee
Dr. Shane Frami, Staryu, lizard
Tameika Gerhold, Meowth, mouse
Miss Leoma Stamm, Moltres, seal
Everette Fritsch, Magmar, impala
Onie Veum, Porygon, sardine
Jerrold Jenkins, Sandslash, hornet
Jannie Wisoky, Mr. Mime, cat
Vanda Schmitt, Tentacool, marten
Jeff Gleason, Nidoqueen, hare
Georgianna Purdy, Aerodactyl, horse
Art Carroll, Venusaur, tortoise
Elliot Towne, Wigglytuff, chinchilla
Donte Batz, Shellder, elephant
Irma Bashirian, Golduck, raccoon
Paula Graham, Dragonite, whale
Corinna Lockman, Spearow, elk
Sheba Marvin II, Slowpoke, koala
Eileen McGlynn, Poliwag, ox
Thresa Balistreri, Arbok, buffalo
Juliane Halvorson MD, Scyther, gnat
Sanjuanita O'Reilly, Hitmonchan, armadillo
Damion Veum, Mankey, grasshopper
Belen Anderson, Gengar, cheetah
Odessa Rogahn, Kakuna, porcupine
Lina Denesik, Blastoise, swan
Norene Metz I, Articuno, raven
Cinda Bauch, Slowpoke, worm
Charlesetta Langworth III, Mewtwo, baboon
Ocie Johns I, Nidoking, leopard
Sheron Lebsack, Zubat, moose
Doria Mayer, Spearow, hound
Mr. Lane Borer, Seaking, cricket
Wilbur Padberg V, Ponyta, cheetah
Mrs. Rosann Monahan, Bellsprout, dolphin
