Prince Dickinson, Mew, hamster
Shawn Senger, Nidoran, whale
Dr. Major Fadel, Tentacruel, zebra
Lou Schiller V, Ivysaur, muskrat
Pierre Mayer, Pidgey, locust
Mr. Maggie Wilderman, Sandslash, donkey
Louann Rolfson IV, Dragonair, monkey
Rebecca Okuneva IV, Raichu, caribou
Buffy Mayer, Dugtrio, hamster
Ms. Reiko Zemlak, Grimer, jackal
Lovella Simonis, Weedle, leopard
Miss Minh Dooley, Meowth, raccoon
Randee Marvin, Parasect, fox
Brant Dibbert, Exeggcute, panda
Kirby Heller, Weedle, dog
Isreal Kessler, Charizard, bat
Dee Haag, Omanyte, goose
Savannah Bergstrom, Growlithe, chinchilla
Ambrose Altenwerth, Rhydon, hyena
Miss Kyra Rice, Weedle, wallaby
Maude Leuschke MD, Venusaur, snail
Agustin Hamill I, Graveler, eel
Cristin Herzog Sr., Onix, buffalo
Gaston Moore, Shellder, hedgehog
Victor Watsica DDS, Kingler, alpaca
Rosella Labadie, Poliwag, donkey
Lillian Heathcote, Alakazam, gnu
Perla Medhurst, Exeggcute, oyster
Angelena Halvorson DVM, Ditto, mole
Johnny Bartoletti, Lapras, mallard
Pearline Paucek, Charmeleon, hornet
Bertram Homenick, Machamp, donkey
Michel MacGyver, Beedrill, goldfish
Ms. Boyce Runolfsson, Flareon, jackal
Sara Reynolds, Venomoth, lion
Larue Cruickshank, Magikarp, hound
Alfonso Roob, Persian, cod
Cindi West, Zubat, salmon
Adalberto Hane, Charizard, snail
Roderick Dibbert, Primeape, toad
Young O'Hara IV, Machop, wasp
Edmond King, Marowak, fly
Haywood Aufderhar, Seadra, otter
Louis Christiansen, Exeggutor, squirrel
Deon VonRueden, Lapras, eel
Minh Cole, Weezing, snake
Moses DuBuque DDS, Seaking, turtle 
Brady Gleichner DDS, Cloyster, goose
Britney Hauck, Beedrill, wallaby
Nidia McLaughlin, Cubone, dog
