Andres Tromp, Abra, tortoise
Tennille Kuhn, Arbok, marten
Romelia Nitzsche, Fearow, weasel
Sherril Conn Sr., Bellsprout, trout
Trenton Price, Gengar, skunk
Rudy Wolff, Mewtwo, worm
Inga Fadel, Seel, zebra
Fransisca Schamberger, Nidoran, mallard
Jacques Hartmann, Staryu, badger
Gerry Hoppe, Muk, bee
Tijuana Schuster, Diglett, goldfish
Theressa Trantow, Tentacruel, squirrel
Myriam Balistreri, Eevee, llama
Shasta Kuhlman, Mankey, rat
Viola Hegmann, Nidorino, mouse
Robbi Jones, Magneton, gorilla
Mr. Lacy Prohaska, Pidgeot, coyote
Dr. Bobbye Cummerata, Primeape, mole
Ms. Merlin Kertzmann, Arcanine, scorpion
Dawne Jacobs III, Magnemite, trout
Mao Huel, Nidorina, hedgehog
Mistie Will, Porygon, raven
Gregory Hermann, Mewtwo, antelope
Vernie Baumbach V, Magikarp, cod
Elwanda Fay, Tauros, hare
Ophelia Thompson, Tauros, frog
Andre Baumbach, Seadra, panda
Toni Lemke, Golbat, wasp
Ivy Kautzer, Marowak, tortoise
Brenton Ortiz, Snorlax, jackal
Rey Beahan DDS, Gengar, armadillo
Herb Ankunding, Diglett, clam
Stevie Goldner, Kabutops, hound
Elenora Muller, Sandshrew, grasshopper
Caprice Stamm, Oddish, scorpion
Celesta Kunde, Paras, minnow
Mrs. Ines Howe, Shellder, mule
Aubrey Mann, Hitmonlee, spider
Li Greenfelder, Abra, fox
Ms. Colin Senger, Drowzee, squirrel
Jena Rempel, Machamp, horse
Giuseppe Sawayn I, Dodrio, hare
Fidelia Armstrong, Wartortle, eagle
Ms. Arlena Rosenbaum, Weedle, raven
Jason Franecki, Weepinbell, worm
Dessie Crooks Sr., Beedrill, yellowjacket
Gerry Sauer, Kangaskhan, ape
Terrell Williamson II, Diglett, sheep
Pat Walker, Poliwhirl, sea lion
Ilene Lang, Ditto, snail
