Russ Shanahan, Squirtle, porpoise
Miss Ray Hodkiewicz, Magnemite, butterfly
Setsuko Jones Sr., Psyduck, jellyfish
Evette Rau, Dratini, swan
Miss Cynthia Dietrich, Diglett, oyster
Miss Dominick Lowe, Exeggcute, squirrel
Darcie Lowe, Starmie, elk
Marhta Gerlach, Caterpie, crab
Ms. Margery Schiller, Dratini, fish
Monty Crist, Krabby, porcupine
Natacha Hansen, Kangaskhan, gorilla
Ms. Dwain Mertz, Kabuto, rat
Dr. Cedric Koss, Horsea, serval
Wade Parisian, Seadra, skunk
Billye Conroy, Alakazam, badger
Fausto Lind, Jigglypuff, trout
Carey Monahan, Rhyhorn, termite
Jeffrey Sipes V, Seel, reindeer
Ms. Clorinda Jacobi, Chansey, otter
Miss Laquanda Pollich, Poliwag, grasshopper
Sam Treutel V, Cubone, trout
Dr. Vern Lowe, Snorlax, pig
Ronald Collier III, Primeape, duck
Ursula Flatley, Gloom, koala
Krystin McLaughlin, Tentacool, panda
Micheal Cormier, Flareon, pig
Jaime Hermiston, Aerodactyl, lizard
Leslie Schmitt, Grimer, rabbit
Mrs. Armandina Nikolaus, Dratini, lizard
Lawanna Runolfsson, Kingler, yak
Benton Morar, Seadra, beaver
Hailey Jones, Tangela, panda
Brigitte Bergstrom, Sandslash, ape
Jerrold Rice, Growlithe, walrus
Mr. Travis Runolfsson, Scyther, locust
Lilla Marquardt, Tauros, ape
Errol Dickens, Diglett, butterfly
Mr. King Senger, Beedrill, locust
Robbie Hilpert DVM, Parasect, bat
Jovita Howell, Electabuzz, mosquito
Donn Renner, Poliwrath, kangaroo
Malka Larkin, Ivysaur, shark
Neva Turcotte, Victreebel, yellowjacket
Noble Berge, Rattata, clam
Alden Luettgen DVM, Blastoise, jackal
Venetta Haley DVM, Nidoking, cat
Winona McClure Jr., Geodude, raven
Kami Crist, Wartortle, gorilla
Nadine Mueller, Exeggcute, yak
Herbert Wuckert, Porygon, ferret
