Dr. Orpha Schulist, Pidgeot, hornet
Darin Leffler, Starmie, hyena
Theresa Heaney, Gastly, monkey
Carrol Hagenes, Chansey, cheetah
Mr. Arden Zboncak, Omastar, chimpanzee
Mr. Napoleon Quitzon, Arcanine, coyote
Yong Collier, Gengar, gnu
Valentine Rowe, Grimer, chinchilla
Bulah Crooks, Charmeleon, hedgehog
Mr. Dominique Cassin, Graveler, louse
Dwayne Howe, Charizard, mouse
Jimmy Rutherford, Dragonite, prairie dog
Abel Lang Jr., Nidorina, turtle 
Roman Sauer, Omastar, bear
Hermila Rice, Kakuna, raven
Manda Halvorson, Venonat, buffalo
Dr. Ora Reichert, Dugtrio, wombat
Agnes Rodriguez, Victreebel, porpoise
Edwardo Padberg, Jynx, caribou
Wei Feeney DVM, Nidoqueen, raccoon
Jame Fay, Cloyster, impala
Kendall Tremblay, Seaking, frog
Von Reichel III, Rhydon, hornet
Vasiliki King, Porygon, kangaroo
Collette Lesch, Gloom, scorpion
Dacia Casper V, Diglett, fox
Miss Micheal Jacobi, Metapod, pig
Dr. Joya Bogan, Kadabra, crow
Stewart Murazik III, Rapidash, squirrel
Darlena Brekke I, Gloom, wombat
Bella Dare, Tauros, swan
Mrs. Eddie Homenick, Zubat, mink
Mrs. Edmond Borer, Machamp, frog
Edison Stehr, Kabuto, serval
Dana Franecki, Poliwrath, gorilla
Tommy Stanton, Zapdos, minnow
Devon Roob, Flareon, serval
Jefferey Abbott, Seaking, fox
Josh Funk, Kangaskhan, pug
Mrs. Chance Gerlach, Kadabra, duck
Collene Heaney, Diglett, elk
Ronnie Fadel II, Eevee, gorilla
Luke Beahan DVM, Ninetales, skunk
Bryon Metz, Krabby, serval
Marshall Volkman, Magneton, wombat
Ms. Johnny Wisoky, Tentacruel, ferret
Petra Olson, Slowpoke, gnu
Nelson Schoen II, Kakuna, ape
Karie Rutherford, Pikachu, bee
Billie Crist, Rattata, prairie dog
