Guadalupe DuBuque, Geodude, butterfly
Gene Bernhard, Hypno, crocodile
Tanja Christiansen, Gloom, camel
Mrs. Ji Hartmann, Omanyte, mole
Piedad Heathcote MD, Bellsprout, raven
Shavon Hintz, Magikarp, duck
Miss Elisha McGlynn, Magmar, seal
Miss Raymon Balistreri, Tangela, wallaby
Miss Edwin Schultz, Ditto, prairie dog
Ms. Leoma Harris, Staryu, eagle
Freddie Gleichner, Gastly, butterfly
Clint Funk, Shellder, skunk
Hoyt Turner, Oddish, scorpion
Liza Monahan, Dugtrio, pig
Sandy Schmeler IV, Ponyta, wasp
Adelle Armstrong, Kadabra, woodchuck
Miss Marni MacGyver, Dragonite, eel
Kanesha Conroy, Kangaskhan, butterfly
Beatriz Davis, Vulpix, tortoise
Ms. Allen Reichert, Seadra, macaw
Gregg Huel I, Lickitung, sardine
Benedict Windler, Eevee, coyote
Onita Medhurst, Magikarp, clam
Miss Angelic Wiegand, Weezing, kangaroo
Carolee Yost, Beedrill, pig
Dot Herzog, Grimer, hippopotamus
Lowell Weissnat, Voltorb, lion
Jamel Cormier, Koffing, hamster
Miss Carmelo O'Reilly, Aerodactyl, turtle 
Sebastian Walker, Eevee, porcupine
Mr. Carey Corkery, Poliwag, bee
Charisse VonRueden, Moltres, ape
Rosendo Torphy, Caterpie, serval
Gemma Schumm V, Cubone, bear
Penney Sauer, Wartortle, salmon
Miranda Brown PhD, Gastly, turtle 
Perry Rogahn, Raticate, gnu
German Stiedemann, Tauros, wolf
Latosha Roberts, Ivysaur, wombat
Wilfred Kutch, Seadra, goldfish
Billie Larson, Sandslash, guinea pig
Miss Laraine Fisher, Wartortle, pug
Leilani McDermott, Venomoth, crocodile
Dr. Beaulah Heller, Electabuzz, seal
Gita Sauer, Omastar, badger
Fredia Brown, Staryu, sheep
Carlena Terry, Mr. Mime, mouse
Jacinto Emmerich, Golem, coyote
Adrianna Bradtke MD, Dragonite, rhinoceros
Eugene Terry IV, Moltres, elephant
