Ms. Elmo Strosin, Seaking, koala
Whitney Grant, Staryu, beetle
Verona Kilback, Lickitung, alpaca
Hollis Schulist, Electabuzz, sardine
Ms. Launa Gutkowski, Pidgeotto, baboon
Salvatore Gutmann, Porygon, hippopotamus
Barb Mann, Lickitung, worm
Mrs. Rolf Heaney, Lapras, prairie dog
Mrs. Raymundo Altenwerth, Doduo, macaw
Anderson Kautzer, Pinsir, giraffe
Jack Raynor PhD, Machop, mouse
Solomon Howell, Lapras, toad
Milton Harber, Blastoise, weasel
Dr. Erich Wisozk, Pidgeot, pig
Travis Mitchell, Chansey, toad
Rex Blick, Kangaskhan, rhinoceros
Emmaline Braun, Victreebel, chimpanzee
Dalton Tillman, Psyduck, eel
Elizbeth Kutch, Spearow, elephant
Jamey Lemke, Voltorb, yellowjacket
Wesley McLaughlin, Eevee, cockroach
Malcom Dicki, Doduo, mammoth
Santos Glover II, Seel, jackal
Spring Macejkovic, Kabutops, scorpion
Angel Pfannerstill, Squirtle, koala
Tristan Konopelski, Ninetales, water buffalo
Kristie Heidenreich Jr., Slowbro, yak
Miss Louie D'Amore, Nidoqueen, manatee
Edmond Zboncak II, Pinsir, bat
Rosetta Jakubowski MD, Tentacool, crab
Alona Ritchie, Mr. Mime, mink
Miss Jules Hessel, Poliwag, fish
Beau Reichel, Diglett, minnow
Evan Okuneva, Magnemite, pig
Jewel Lakin, Aerodactyl, porcupine
Shanel Hermiston MD, Pikachu, hippopotamus
Darwin Kuvalis, Ninetales, wildebeest
Enola Brown DDS, Pidgeotto, snail
Kimiko Dare, Weedle, salmon
Myles McLaughlin, Bellsprout, raccoon
Sonja Volkman, Grimer, caribou
Mr. Sue Botsford, Charmander, cattle
Dr. Neal Dicki, Slowpoke, wildebeest
Alyse Johnston, Weepinbell, hare
Jessia Grady II, Alakazam, badger
Cleo Schultz, Snorlax, baboon
Joey Goyette, Staryu, jellyfish
Roderick Yost, Vileplume, rhinoceros
Bradford Beer, Fearow, sea lion
Bettina Ritchie, Graveler, rhinoceros
