Chuck Johnson, Meowth, lizard
Dexter Stark, Venonat, deer
Guy Adams, Starmie, frog
Bennie Stracke, Exeggutor, mosquito
Casey Yost, Flareon, serval
Elois Powlowski, Graveler, snail
Kristy Crona, Tangela, cricket
Dominique Jacobi, Arcanine, bee
Denis Zieme, Cloyster, snail
Loree Rowe, Ponyta, sardine
Erlene Wyman, Tentacool, turtle 
Bryant Langworth, Staryu, macaw
Alberto Bergstrom, Jolteon, cod
Mauro Legros, Koffing, dinosaur
Roger Crona, Hypno, manatee
Lynn Murray, Magikarp, snake
Cedrick Kiehn, Weepinbell, crocodile
Rochelle Goodwin II, Omanyte, coyote
Mrs. Wiley Schaden, Pikachu, fly
Randy Jacobi, Jynx, sheep
Andy Bergnaum I, Oddish, camel
Mui Brekke, Seadra, pug
Miss Season Kiehn, Vulpix, salmon
Ms. Jose Friesen, Sandslash, skunk
Sara Abernathy, Porygon, spider
Sergio Ernser, Clefairy, cricket
Len Kub, Rhydon, horse
Alberta Bosco, Seaking, muskrat
Chance Ratke DVM, Kabuto, locust
Blaine Bruen, Hypno, elk
Ms. Delana Crist, Seadra, shark
Glennie Kunze, Golem, scorpion
Nancie Crist PhD, Venomoth, armadillo
Jason Bernhard I, Parasect, duck
Essie D'Amore, Pidgeot, alligator
Lenard Ferry DVM, Nidoking, raccoon
Erich Lind, Kadabra, mallard
Luciano O'Connell DVM, Pinsir, ant
Caroll Hoppe, Lickitung, rhinoceros
Eusebio Mitchell, Golem, goat
Ms. Olive Bradtke, Slowbro, gnu
Beulah Monahan, Charmander, pug
Edgar Crist, Charmander, yak
Jewell Larkin, Parasect, herring
Edwin Rau, Wigglytuff, cod
Harry Pouros, Hitmonchan, toad
Sharen Rippin, Pidgeot, hippopotamus
Joellen Gulgowski, Snorlax, crow
Domingo Kemmer, Poliwrath, cricket
Andres Reynolds, Rhydon, platypus
