Pamila Mann, Farfetch'd, hornet
Indira King, Arcanine, pug
Melanie Buckridge Jr., Kingler, tortoise
Ms. Ivory Dicki, Oddish, squirrel
Stefan Roberts, Dewgong, pug
Glennis Rau, Dewgong, yellowjacket
Bennett Corwin, Pidgey, mink
Alishia Bruen, Magnemite, kangaroo
Cara Conroy, Kakuna, mule
Miss Hiram Murazik, Exeggcute, water buffalo
Ms. Madalyn Davis, Rhydon, donkey
Vicki Klein, Goldeen, spider
Natashia Blick II, Snorlax, beaver
Jaimee Daniel, Nidoran, muskrat
Dan Thompson IV, Kangaskhan, hyena
Tory Bayer, Koffing, goat
Jason Macejkovic, Krabby, turtle 
Tyler Wisozk, Weezing, horse
Curt Simonis, Jolteon, deer
Kasie Huel, Lickitung, porpoise
Tricia Schroeder IV, Onix, hamster
Natashia Gislason, Seel, scorpion
Tracy Kihn DVM, Dewgong, gnu
Freddie Kuhlman I, Exeggcute, raccoon
Darron Volkman MD, Grimer, ape
Augustine Wiza, Charmeleon, snake
Marcus Kreiger, Electrode, muskrat
Rana Rowe, Gloom, pug
Rolland Rohan, Tentacruel, weasel
Tillie McCullough, Electrode, ant
Myong Greenfelder MD, Mew, alligator
Zenobia Barrows, Vulpix, ox
Collette Schowalter, Omastar, goose
Dr. Zena Towne, Growlithe, wasp
Jackeline Murphy, Ekans, butterfly
Steven Roob, Dragonite, eel
Vesta Douglas, Scyther, sea lion
Wendell Fahey, Tangela, marten
Shon Weber DVM, Kabuto, bat
Bettina Shields PhD, Seadra, zebra
Marilee Prosacco, Golem, prairie dog
Miss Richard Heaney, Metapod, rhinoceros
Earleen Bahringer, Rhydon, giraffe
Ila Hane Jr., Seaking, tiger
Miss Sadye Grimes, Tangela, raven
Celsa Baumbach, Gastly, monkey
Kieth Towne, Omanyte, snake
Ayana VonRueden II, Muk, tortoise
Elenora Wilkinson, Marowak, beetle
Ms. Latoyia Douglas, Drowzee, chimpanzee
