Miss Marielle Quitzon, Victreebel, cat
Leisa Parker MD, Starmie, koala
Dannie McDermott DDS, Kangaskhan, toad
Damion Lindgren, Exeggcute, eel
Iva Beatty, Doduo, beaver
Mr. Marguerite Turcotte, Pidgeot, clam
Dale Becker IV, Magmar, fish
Mr. Aleida Stark, Raichu, scorpion
Booker West, Aerodactyl, camel
Hollie Murray, Omanyte, snail
Mitch Abbott, Dragonite, skunk
Sherice Mann, Moltres, lizard
Eula Kiehn, Horsea, chinchilla
Miss Penelope Hilll, Bellsprout, kangaroo
Porter Jerde, Grimer, mouse
Leonor White, Eevee, duck
Stanley Emmerich, Mew, shark
Maurice Luettgen DDS, Rattata, serval
Shoshana Wisoky, Gastly, hamster
Bobette Lubowitz IV, Sandslash, squirrel
Edmond VonRueden, Farfetch'd, turtle 
Juliann Kirlin II, Weedle, rhinoceros
Lyle Heaney, Sandslash, frog
Miss Mickie Hayes, Mew, porpoise
Lavern Dietrich, Sandslash, sea lion
Aileen Reinger DVM, Pikachu, oyster
Gary Collier Sr., Exeggutor, deer
Lourdes Weissnat, Venonat, eel
Mrs. Leia Schneider, Doduo, hornet
Brendan Yundt, Arcanine, sheep
Tena Ziemann, Omastar, scorpion
Chung Gottlieb, Onix, crow
Lon Tremblay, Lickitung, elk
Mr. Lyndon Pacocha, Geodude, baboon
Joe Kiehn III, Raichu, elephant
Dallas Yost PhD, Clefable, grasshopper
Charlie O'Keefe, Dragonite, worm
Josiah Kreiger, Gengar, locust
Ma Swaniawski, Venonat, goat
Junior Harris, Wartortle, dog
Mohamed Bailey, Dratini, snail
Branden Stark, Nidoran, goat
Mr. Cathey Swift, Scyther, wolf
Rosaura Hartmann, Cubone, mink
Mr. Sarah Kovacek, Clefairy, alligator
Mr. Gerald Kilback, Mew, caribou
Arleen King, Arbok, dog
Bradford Blick, Zapdos, ant
Nickole Herman, Machoke, dog
Pattie Jerde DVM, Jigglypuff, serval
