Darcy Swift, Dragonair, cod
Julian Hoppe, Gastly, donkey
Javier Crist, Caterpie, llama
Tisa McCullough, Staryu, baboon
Alphonse Mayer, Machamp, bee
Carroll Lubowitz I, Scyther, manatee
Annabel Osinski, Seadra, sheep
Freddy Crooks, Gastly, cheetah
Gudrun Walker Sr., Gastly, tiger
Darrick Schroeder, Porygon, chimpanzee
Graig Hackett, Butterfree, chimpanzee
Etta Wilkinson III, Oddish, wallaby
Sol Rau, Drowzee, goose
Mrs. Cristen Parker, Marowak, yellowjacket
Franklin Pagac, Goldeen, goat
Tegan Orn, Wigglytuff, pug
Bobby Goldner, Cloyster, giraffe
Layla Bartell, Kakuna, shark
Sandie Sipes, Pidgey, prairie dog
Mrs. Elvis Kuhn, Fearow, rhinoceros
Guy Conn, Slowpoke, ant
Mrs. Nicky Dare, Ditto, tortoise
Earnest Kihn, Seel, koala
Benjamin Kirlin, Mewtwo, mallard
Xochitl Robel Sr., Electabuzz, turtle 
Arturo Gibson, Jigglypuff, dinosaur
Mrs. Sarina Spencer, Jigglypuff, giraffe
Rickie Hettinger, Doduo, spider
Steven Jerde IV, Vaporeon, snake
Douglass Kris, Seadra, tortoise
Brice Kovacek IV, Lickitung, seal
Mirtha Gutmann, Charizard, shark
Genevive Jacobson, Graveler, cheetah
Letha Glover, Nidoking, dog
Deshawn Koch, Hitmonlee, badger
Valene Hessel, Ponyta, woodchuck
Christian Purdy, Dratini, coyote
Richard Nikolaus, Vaporeon, hedgehog
Jason Ritchie V, Victreebel, minnow
Mila Beer, Dragonair, louse
Riley Hackett, Vaporeon, crab
Ms. Shonda Gottlieb, Clefable, bee
Wendell Ryan, Weepinbell, hornet
James Schamberger, Tentacool, hare
Dr. Todd McLaughlin, Golem, crab
Anette Aufderhar, Arbok, mouse
Freeda Fadel, Poliwag, bear
Hermelinda Larson, Pinsir, caribou
Dr. Tanner Kirlin, Tangela, wombat
Emmett Mante, Charmander, leopard
