Gaylord Johnson, Gloom, goose
Agripina Mohr, Weepinbell, wombat
Miss Levi Kohler, Alakazam, deer
Flo Hauck, Dragonite, herring
Chau Keeling, Voltorb, butterfly
Mr. Rhea O'Keefe, Venusaur, wolf
Timmy Hettinger III, Dodrio, porpoise
Dr. Charity Welch, Muk, gorilla
Mr. Marketta Bruen, Weepinbell, turtle 
Gustavo Torp, Machoke, pig
Ruthanne Abernathy I, Nidoqueen, kangaroo
Ms. Chong Schimmel, Golbat, louse
Johnie Cronin, Electabuzz, ox
Shawnda Ankunding, Rapidash, fly
Louie Barrows, Vaporeon, serval
Teresa Zieme, Golem, badger
Miss Randall Robel, Oddish, rhinoceros
Bertha Feest, Primeape, duck
Karlene West IV, Pidgey, locust
Brandon Emmerich, Horsea, shark
Miss Ladawn Ankunding, Gastly, alligator
Russel Dietrich, Golduck, crocodile
Mike Kuhn, Kangaskhan, giraffe
Lucila Cormier, Mr. Mime, locust
Miss Valerie O'Keefe, Weepinbell, pig
Georgine Kihn II, Golduck, dolphin
Gil Nader, Clefable, camel
Lawrence Raynor, Jigglypuff, shark
Marian Dach, Grimer, clam
Ms. Dolly Bartell, Slowpoke, hound
Gaynell Murazik II, Tangela, grasshopper
Teresita Brown, Mew, prairie dog
Wilhelmina Stanton, Seadra, mallard
Maxwell Jacobson, Tentacruel, lizard
Myrle Carter, Dragonite, cat
Shonta Rice, Jynx, caribou
Darnell Ferry, Psyduck, gnu
Margherita Keeling, Fearow, koala
Margarito Marquardt II, Hitmonchan, caribou
Levi Stroman, Weepinbell, jellyfish
Dr. Vicente Haag, Exeggcute, llama
Mr. Akilah O'Connell, Magnemite, wallaby
Donnell King, Pikachu, eagle
Dr. Blair Smitham, Arcanine, zebra
Willian Feeney, Dragonite, jackal
Miss Donald Ritchie, Muk, sheep
Elbert Runte Jr., Weedle, alligator
Alissa Casper Sr., Clefable, walrus
Patrick Feeney, Weedle, prairie dog
Marica Mitchell I, Meowth, pug
