Dong Padberg PhD, Cubone, mouse
Letitia Williamson, Dragonair, frog
Ms. Elijah Fay, Lapras, cheetah
Jean Metz IV, Nidorino, gnu
Norman Turcotte, Gengar, muskrat
Carmel Dicki, Jolteon, tiger
Garret Hegmann, Sandshrew, hare
Miss Bradford Schroeder, Gloom, sheep
Martine Jenkins, Onix, chimpanzee
Dr. Keith Spinka, Rapidash, serval
Garland Kiehn, Rhydon, seal
Mrs. Brenda Hagenes, Starmie, alpaca
Mr. Miranda Fisher, Slowpoke, chimpanzee
Deneen Shields, Squirtle, hare
Alonso Zboncak, Magnemite, cricket
Pedro Marks, Golbat, porpoise
Lionel O'Kon, Ninetales, cattle
Kelly Mayert, Porygon, moose
Allen Herman, Mankey, sardine
Lori Murray, Vileplume, skunk
Mr. Jerrell Spinka, Abra, gerbil
Doug Rempel, Pidgey, chinchilla
Coleman Rutherford, Snorlax, dog
Mr. Sherryl Altenwerth, Shellder, buffalo
Rolf Conroy, Blastoise, toad
Benjamin Moore, Sandslash, hedgehog
Miss Rene Fahey, Machoke, tortoise
Claudia Fahey, Shellder, fish
Mr. Janyce Harber, Doduo, squirrel
Ian Beatty, Marowak, hound
Irma Breitenberg, Tauros, dog
Caleb Bogan I, Tauros, armadillo
Tory Wehner IV, Pidgey, buffalo
Kyong Borer, Venonat, scorpion
Sebrina Gutmann, Staryu, buffalo
Shelby Marks, Krabby, mink
Agueda Dietrich, Diglett, swan
Harry Larson, Arbok, water buffalo
Ms. Matt Kerluke, Zubat, crow
Sharika Gorczany, Jolteon, hornet
Mrs. Alysha Koss, Exeggcute, trout
Larry Carroll, Fearow, fish
Valentin Leuschke PhD, Poliwrath, sea lion
Mrs. Rolf Bogan, Snorlax, cricket
Kira Swift DDS, Rhydon, crow
Cody Koepp, Poliwrath, marten
Youlanda Berge, Golem, worm
Jean McClure, Golbat, cheetah
Audrie Yundt, Vileplume, butterfly
Theo Hickle, Venusaur, rat
