Hermine Bartoletti, Gyarados, zebra
Jesusita Kuhlman, Spearow, pug
Rhett Kohler, Sandslash, muskrat
Ms. Jewel Leuschke, Koffing, elephant
Nestor Hickle, Seadra, crow
Leila Gleichner, Staryu, leopard
Karleen Gaylord, Lickitung, walrus
Ms. Elliott Jast, Porygon, gnat
Hyun Farrell, Vileplume, salmon
Clifton Schmeler MD, Pidgeot, raven
Mandie Larkin, Tangela, porpoise
Liana Schmitt, Slowpoke, pig
Joseph Ledner, Cubone, frog
Selene Adams, Raichu, monkey
Ms. Bette Predovic, Seel, reindeer
Hayden Swift, Staryu, bee
Ollie Weimann, Paras, weasel
Emmett Predovic Jr., Rhyhorn, hippopotamus
Leonie Schaefer, Raticate, snail
Minna Hamill III, Ekans, locust
Tory Paucek, Rhydon, ox
Abbey Dietrich, Wigglytuff, eagle
Ms. Garfield Wiegand, Flareon, pig
Vanita Torphy, Pidgey, squirrel
Adolph Klein, Scyther, goldfish
Nelle Witting, Machamp, mink
Sharla Armstrong V, Bellsprout, mallard
Stevie Kihn, Rapidash, ape
Terrance Keebler, Arbok, skunk
Dr. Woodrow Bruen, Nidorino, muskrat
Lekisha Kuvalis DDS, Muk, hound
Yetta Mosciski IV, Poliwrath, buffalo
Allen Stark, Magikarp, locust
Shantel Effertz, Zapdos, chinchilla
Alesia Ritchie, Slowpoke, caribou
Danny Muller, Flareon, tortoise
Theo Dicki MD, Goldeen, porpoise
Jeffry Towne IV, Magneton, chimpanzee
Angelo Bruen, Weezing, buffalo
Daren Beer, Machamp, lion
Norman Donnelly, Graveler, snail
Willy Reynolds V, Kabuto, walrus
Delois Muller, Venonat, alpaca
Anne Leffler, Jigglypuff, pug
Howard Cole, Mr. Mime, mule
Maria Walker, Victreebel, wombat
Derek Gaylord, Venonat, clam
Almeta Stracke, Exeggcute, goldfish
Berniece Osinski, Vulpix, otter
Malika Powlowski III, Ninetales, donkey
