Lila Conn I, Nidorina, raccoon
Quyen Rau, Weedle, hare
Sammie Haag, Sandslash, squirrel
Ross West, Ditto, herring
Abraham Funk, Oddish, antelope
Miss Audrie Willms, Marowak, porcupine
Zane Kuhlman, Scyther, leopard
Mr. Hannelore Morissette, Gyarados, ferret
Val Wiza, Metapod, wallaby
Lashon Wiza, Tentacruel, caribou
Mrs. Mel MacGyver, Paras, whale
Kerry Dickinson, Marowak, hippopotamus
Abdul Marquardt, Mankey, herring
Lanie Hauck, Spearow, caribou
Louis McClure, Growlithe, yellowjacket
Juliana Swaniawski, Starmie, badger
Jayson Wilkinson, Seadra, impala
Terry Sipes DVM, Golduck, macaw
Charisse Stokes, Zubat, louse
Daniel Gaylord, Flareon, bear
Faustino Krajcik Jr., Electrode, bear
Leonard Roberts IV, Wigglytuff, raven
Randell Pollich DDS, Graveler, gnu
Granville Hammes III, Kabuto, hare
Halina Langworth, Nidoran, alpaca
Mikel Armstrong, Raichu, mole
Tomika Hodkiewicz, Fearow, chimpanzee
Jeanice Nader, Weepinbell, beetle
Elvia Murazik, Charmeleon, minnow
Mrs. Chas Heathcote, Squirtle, crocodile
Ezequiel Dare, Abra, guinea pig
Charita Trantow, Vileplume, caribou
Rodolfo Runolfsson Jr., Sandslash, impala
Lester Kautzer, Diglett, bear
Miss Bari Wiegand, Nidoran, goat
Su Anderson Jr., Gengar, mink
Arlean Emmerich, Cubone, cattle
Benton Littel PhD, Pinsir, salmon
Kelly Hane, Lapras, manatee
Bradley Heller, Squirtle, reindeer
Chauncey Hessel, Persian, seal
Kala Little, Dodrio, weasel
Miss Martha Haag, Ditto, herring
Suanne Donnelly, Venusaur, cat
Ms. Dann Lemke, Rapidash, swan
Layla Feest, Beedrill, cicada
Denae Tromp, Goldeen, worm
Zackary Prosacco, Machop, snake
Mammie Murazik II, Nidoran, locust
Lavona Pfannerstill, Alakazam, wasp
