Kanesha Pagac, Kabuto, porpoise
Vernon Block III, Raticate, platypus
Lamont Will, Nidoking, worm
Duncan Turner, Ekans, tiger
Joslyn Effertz, Pikachu, wallaby
Camille Gerhold III, Aerodactyl, tiger
Ms. Travis King, Weezing, pug
Pedro Brakus Sr., Omanyte, horse
Rossana Rosenbaum, Farfetch'd, porcupine
Mrs. Val Ziemann, Magnemite, gnu
Ms. Tammara Robel, Machoke, reindeer
Manuel Herzog, Meowth, pig
Miss Ezra Wunsch, Oddish, minnow
Miss Carissa Buckridge, Raichu, hippopotamus
Ray O'Reilly, Nidoqueen, wombat
Isobel O'Reilly, Tentacool, bat
Leonora Volkman, Farfetch'd, turtle 
Ina Osinski Jr., Mew, fly
Kareen Fritsch, Marowak, yellowjacket
Miss Reid Ryan, Goldeen, guinea pig
Les Dare, Beedrill, toad
Vance Hintz, Goldeen, cod
Demetrius Reilly, Gyarados, rat
Berry Leffler, Lickitung, mallard
Ms. Timothy Cormier, Poliwhirl, turtle 
Akiko Wolf, Shellder, ferret
Adrian Funk Sr., Lapras, pig
Dr. Louis Rodriguez, Clefable, mink
Larraine Heaney, Gengar, sardine
Mickey Ondricka, Zubat, jackal
Sanjuana Kris IV, Tentacruel, baboon
Hyo Walsh, Tangela, louse
Gisela Sporer, Vaporeon, butterfly
Arlie Wilderman, Poliwrath, trout
Darnell Deckow, Squirtle, herring
Gregg Stoltenberg, Blastoise, crow
Corey Hermann, Parasect, wolf
Modesto Reichel, Gloom, camel
Mr. Grant Crona, Pidgey, walrus
Stanley Kautzer, Butterfree, ape
Mr. Doyle Pfannerstill, Slowpoke, termite
Audrea Gutmann I, Electrode, crab
Luis Marquardt, Raichu, worm
Vernon Okuneva, Venusaur, cat
Miss Dwain Corkery, Growlithe, beetle
Theo Yost Jr., Weezing, seal
Ricardo Adams, Mewtwo, skunk
Damon Labadie, Golem, armadillo
Keely Batz, Oddish, crab
Deb Torp, Gloom, woodchuck
