Austin Terry, Geodude, cicada
Micki Steuber, Abra, jellyfish
Travis MacGyver, Doduo, hornet
Donette Funk, Dodrio, cheetah
Chantel Hintz, Koffing, rabbit
Trinidad Leuschke, Zapdos, muskrat
Dr. Stacy McGlynn, Nidorino, woodchuck
Yuki Cassin, Pidgeot, gorilla
Bryan Crooks DVM, Zubat, elk
Raul Fay, Primeape, louse
Dave Cartwright PhD, Aerodactyl, snake
Oscar Upton, Nidoran, turtle 
Alberto Koch DVM, Butterfree, wildebeest
Jarrod Prosacco, Dodrio, jellyfish
Felipe Greenholt, Clefable, eagle
Thu Daugherty, Electabuzz, yellowjacket
Benita Strosin, Charmander, termite
Felicitas O'Hara, Electabuzz, marten
Elden Hodkiewicz Jr., Porygon, marten
Wendie Gleason Sr., Magnemite, shark
Angelita Wilderman IV, Pidgeot, rhinoceros
Hien Simonis, Clefairy, water buffalo
Mauro Barrows III, Nidorino, rat
Melvin Buckridge, Koffing, louse
Devona Walsh, Primeape, otter
Mindi Weissnat, Flareon, water buffalo
Mrs. Divina Baumbach, Zubat, hound
Lance Ernser, Graveler, porpoise
Glenn Streich, Magneton, frog
Valrie Davis, Vulpix, tiger
Brain Larkin, Kangaskhan, beetle
Eduardo Morissette, Omastar, leopard
Lourie Rodriguez, Kangaskhan, koala
Evan Schamberger, Kabuto, tortoise
Raguel Considine I, Zubat, monkey
Bart Luettgen, Doduo, baboon
Golda Balistreri, Dragonite, ape
Carole Schaefer, Beedrill, armadillo
Mei Turcotte Jr., Pikachu, herring
Brant Witting, Omanyte, water buffalo
Stanton Wunsch, Vileplume, trout
Bernard Koch, Seaking, porpoise
Gay Runolfsdottir, Alakazam, guinea pig
Clarisa Nicolas, Ninetales, zebra
Sal McCullough, Omanyte, herring
Diego Ryan, Gastly, caribou
Rufina Kutch, Staryu, porpoise
Sang Ondricka, Rapidash, squirrel
Corey Gibson, Hypno, horse
Viola Legros, Ninetales, weasel
