Dr. Irina Walsh, Geodude, hamster
Randy Corwin, Seaking, muskrat
Rufus Orn, Dratini, camel
Robt Hansen, Drowzee, porpoise
Mrs. Derick Gislason, Lapras, cat
Pauletta Veum, Omastar, bat
Mrs. Marjory Green, Muk, wombat
Quiana Boyle DVM, Staryu, ox
Courtney Satterfield MD, Wartortle, elk
Jasmin Koelpin, Rattata, tortoise
Reena Sanford, Pinsir, mouse
Brice Dietrich, Onix, otter
Scott Schoen, Poliwrath, snake
Ms. Marylyn Will, Poliwrath, deer
Brenda Mitchell, Gengar, snail
Miss Catalina Lowe, Growlithe, toad
Milford Von V, Onix, porcupine
Marshall Jaskolski, Lapras, armadillo
Lenard Larson, Tentacruel, eel
Harriette Ritchie, Snorlax, platypus
Grant Runolfsdottir, Articuno, frog
Kristen Hoeger, Blastoise, porpoise
Fredrick Johnson, Snorlax, butterfly
Claud Prohaska DVM, Seaking, ant
Mr. Alan Schaden, Dratini, eel
Miss Jaleesa Spinka, Nidoqueen, kangaroo
Hank Swaniawski, Seel, hedgehog
Dorotha Tromp, Pidgey, koala
Merrill Gottlieb, Goldeen, chimpanzee
Raleigh Simonis II, Goldeen, snake
Cecelia Rosenbaum, Paras, rat
Sheridan Botsford PhD, Spearow, herring
Chun Carroll, Gastly, salmon
Yer McKenzie, Dodrio, whale
Joeann Cummings, Geodude, cattle
Mr. Zackary Trantow, Ninetales, ape
Mr. Edward Shanahan, Magikarp, sea lion
Miss Arletha Osinski, Slowpoke, dolphin
Mrs. Petrina Hammes, Weezing, crab
Khadijah Moore, Drowzee, locust
Ms. Ramon Konopelski, Kingler, salmon
Nikia Greenfelder, Porygon, rabbit
Ms. Shanika McDermott, Doduo, hyena
Tomoko Conroy, Horsea, gnu
Willie Tillman MD, Sandslash, hedgehog
Rolande Padberg, Slowpoke, fish
Cole Paucek, Caterpie, skunk
Cedrick Stanton, Hypno, kangaroo
Rupert Sauer, Omanyte, cod
Ahmed Walter, Fearow, swan
