Nelia Grady Jr., Golbat, shark
Sol Abernathy, Aerodactyl, elk
Mr. Dennis Prohaska, Machamp, bear
Marcel Hayes III, Haunter, badger
Brandon Gusikowski V, Exeggcute, duck
Lucy Schoen, Onix, hound
Roy Koelpin, Pinsir, alligator
Miss Mendy Romaguera, Diglett, sea lion
Reid Sipes, Wigglytuff, chinchilla
Will Hackett, Articuno, hamster
Leonora Lakin, Rattata, hound
Irvin Waters, Victreebel, woodchuck
Augustus Ondricka, Golduck, squirrel
Mr. Florinda Schuppe, Ivysaur, otter
Ms. Arleen Jast, Tangela, ferret
Ms. Lakenya Emard, Charizard, moose
Edmund Cormier, Vulpix, jackal
Ervin Bogisich MD, Pidgey, goat
Dionne Koepp, Electrode, bee
Jimmy Metz, Grimer, tiger
Cassaundra Rolfson III, Ninetales, toad
Arturo Torp, Venusaur, monkey
Shayne Beatty II, Starmie, crab
Brad Stehr, Dugtrio, ox
Herschel Halvorson, Rhydon, donkey
Ms. Melvin Kris, Porygon, walrus
Lori Sauer, Hitmonlee, cat
Sam Simonis, Sandslash, baboon
Clement Bailey, Lickitung, alligator
Luis Bergnaum, Kadabra, wasp
Elane O'Conner, Kadabra, bee
Veta Lueilwitz, Pidgeot, wombat
Jerrie Runte, Hitmonlee, turtle 
Luis Corwin, Farfetch'd, goat
Dr. Beata Parker, Ivysaur, pig
Esteban Grady, Cloyster, ox
Rachell Mueller I, Ninetales, baboon
Dr. Barbara Weissnat, Tangela, ape
Love Hilll, Dragonair, bear
Vicki Satterfield, Poliwag, panda
Miss Ayako Hickle, Fearow, guinea pig
Neal Wunsch, Charizard, cod
Mr. Su Kohler, Alakazam, goose
Arnita Osinski, Psyduck, koala
Kathe Spencer III, Jolteon, hound
Armando Mills, Golduck, hamster
Henriette Schiller, Exeggutor, elk
Zonia Welch, Vulpix, porpoise
Jesus Goyette, Charmeleon, salmon
Dr. Santos Ledner, Seadra, impala
