Marshall Mills MD, Koffing, wallaby
Roy Crooks III, Aerodactyl, swan
Horacio Hintz, Machoke, weasel
Kendall Fisher DVM, Wigglytuff, mosquito
Brad Windler, Vileplume, dinosaur
Ashleigh Senger, Hitmonchan, toad
Miss Hue Schulist, Vaporeon, minnow
Loralee Rempel, Aerodactyl, manatee
Gail King, Mew, kangaroo
Paulina Farrell, Charmeleon, guinea pig
Aaron Ullrich, Hypno, raven
Edwardo Emmerich III, Tentacruel, reindeer
Kyle Leannon, Gloom, beetle
Darrick Nolan, Starmie, mouse
Mr. Whitney Walker, Weepinbell, walrus
Jay Hagenes, Voltorb, salmon
Frankie Harris, Omanyte, whale
Roderick Klocko, Growlithe, cheetah
Kacey Haag Sr., Primeape, macaw
Guillermo Runte, Wigglytuff, ox
Qiana Spencer, Charizard, cattle
Thao O'Kon II, Venusaur, hamster
Diana Collins, Lickitung, llama
Norberto Smitham, Tauros, panda
Johnson Conroy, Electrode, hound
Agnes Kub, Clefairy, mammoth
Thanh Gutmann, Gloom, toad
Rossie Muller, Lapras, herring
Mr. Lorena Connelly, Charmeleon, lizard
Barry Bode DVM, Cubone, lizard
Earle Halvorson, Scyther, woodchuck
Alva Oberbrunner MD, Electabuzz, lion
Jeffrey Fay III, Electabuzz, horse
Lean Stanton, Dugtrio, beetle
Lauren Gislason IV, Haunter, hedgehog
Michal Reinger, Clefairy, fox
Toi Gerhold, Dragonite, herring
Darron Kerluke, Doduo, bat
Shante Wunsch, Wartortle, worm
Eddy Goodwin, Zapdos, beaver
Lawrence Spinka, Dragonair, raccoon
Jacob Nitzsche, Golem, kangaroo
Leila Shanahan III, Shellder, donkey
Dr. Cedric Kozey, Butterfree, gerbil
Craig Rosenbaum, Slowpoke, yellowjacket
Ms. Carl Lang, Kabutops, beetle
Thomasena Rippin, Magikarp, jellyfish
Mr. Cyril Hintz, Venomoth, bee
Donya Prohaska, Nidorino, reindeer
Ira McDermott, Farfetch'd, tiger
