Darrell Von, Magmar, salmon
Ms. Curtis Erdman, Nidorina, fish
Reynaldo Mayert, Golem, cod
Lucien Franecki I, Lapras, snake
Charles Kshlerin DDS, Jigglypuff, gnu
Joe Konopelski, Hitmonlee, beetle
Jeanine Boyle, Weedle, cheetah
Yevette Glover, Koffing, shark
Telma West, Kingler, dinosaur
Marisa Smith, Tentacool, herring
Morris Lebsack, Rapidash, gorilla
Elisabeth Roob, Pikachu, alpaca
Silas Ebert, Machoke, trout
Coy Langosh, Seadra, hare
Mrs. Graham Corwin, Machamp, reindeer
Ms. Ken Flatley, Geodude, dolphin
Jeri Grant, Haunter, toad
Brandee O'Kon, Haunter, reindeer
Antony Schaden DDS, Dragonite, jellyfish
Avery Pfeffer, Magneton, cicada
Lynsey Little, Psyduck, seal
Mr. Ali Gottlieb, Koffing, porcupine
Lamar Runolfsson, Omanyte, coyote
Santina Baumbach, Aerodactyl, dolphin
Demetrice Schmidt, Persian, sheep
Gianna Emmerich, Meowth, cod
Clarisa Schmidt DVM, Rapidash, beaver
Karisa Howell, Omastar, ferret
Deidre Reynolds, Exeggutor, termite
Gabriel Deckow, Spearow, skunk
Mrs. Dorian Harris, Chansey, fly
Mrs. Guy Goodwin, Scyther, gnat
Warren Emard, Haunter, cattle
Tyesha Hane, Omastar, wolf
Hannelore Schultz, Eevee, cockroach
Mr. Devona Wilderman, Gastly, elephant
Rudolph Schmeler, Grimer, gorilla
Elyse Fritsch, Mewtwo, fly
Benito Kassulke, Kangaskhan, moose
Ms. Micah Towne, Raichu, wasp
Mr. Valentine Blanda, Chansey, camel
Johnathon Ebert DVM, Arcanine, monkey
Pasquale Hyatt, Diglett, rabbit
Gerardo Cartwright, Seaking, swan
Polly Spinka, Poliwhirl, manatee
Miss Ashleigh Ankunding, Abra, monkey
Forest Waters, Hitmonchan, wasp
Anisha Rolfson MD, Nidoran, wolf
Emerson Green II, Poliwag, cattle
Elton Boehm, Seadra, reindeer
