Camille Pouros IV, Exeggutor, pig
Mandy Roberts, Exeggutor, trout
Jon DuBuque, Abra, dinosaur
Mr. Tristan Nolan, Pidgey, swan
Hope Walker I, Chansey, shark
Dr. Martina Goyette, Starmie, cockroach
Shela Schmitt, Hitmonlee, moose
Alejandro Leannon, Vulpix, moose
Shaunta Kulas MD, Electrode, hedgehog
Ruthanne Reichel Jr., Shellder, goldfish
Barry Hirthe, Slowbro, rabbit
Miss Dian Tillman, Wartortle, macaw
Justina Morar DVM, Kakuna, gorilla
Elvis Swift, Nidoran, caribou
Briana Kub, Gyarados, muskrat
Drew Halvorson, Poliwag, platypus
Newton McDermott III, Metapod, koala
Buster Feest, Weedle, mule
Reed Batz, Staryu, hamster
Sacha Borer, Geodude, bee
Melodie Hane, Oddish, wallaby
Dallas Kris PhD, Jigglypuff, cattle
Ian Haley, Primeape, skunk
Rolland Brakus, Slowbro, cockroach
Chet Brekke V, Charmander, ant
Jeane Bogisich, Kabuto, raven
Miss Lowell Cummerata, Dratini, raven
Chadwick Effertz V, Kangaskhan, eagle
Miss Humberto Cassin, Victreebel, porpoise
Franklin Larson, Omastar, duck
Mrs. Hassan Sipes, Machoke, yellowjacket
Pedro Kertzmann, Doduo, mammoth
Maria Conn, Charizard, rabbit
Rodolfo Leuschke, Clefairy, horse
Johnson Jast IV, Hitmonchan, goose
Johnny Botsford, Poliwhirl, raven
Mrs. Leonila Gislason, Meowth, platypus
Aldo Waelchi, Cubone, gnu
Keturah Hodkiewicz, Geodude, swan
Patrina Terry, Dewgong, hyena
Genna Bergstrom, Abra, pig
Omar Heidenreich, Dodrio, jellyfish
Nick Auer, Magikarp, squirrel
Harris Hahn, Rapidash, oyster
Kristy Veum, Raticate, worm
Dr. Alta Stamm, Zapdos, yak
Dominique Hettinger, Squirtle, platypus
Darrin Crooks, Kabutops, mole
Nerissa Cormier, Vaporeon, rabbit
Sharla Rosenbaum, Goldeen, rabbit
