Neely Lubowitz II, Sandshrew, elephant
Madalene Stoltenberg, Spearow, hedgehog
Ms. Rolando Bayer, Gyarados, scorpion
Alaine Windler IV, Shellder, pug
Mrs. Dallas Zboncak, Bellsprout, wombat
Debrah Hayes, Omanyte, rhinoceros
Rich Reichel, Jynx, louse
Shaunna Greenholt Jr., Abra, dog
Michell Bogan, Jynx, wildebeest
Lupe Swift, Horsea, shark
Dr. Nydia Keeling, Exeggcute, wallaby
Dr. Matilde Wintheiser, Clefairy, clam
Vernell Haag, Seaking, hornet
Noe Hudson Sr., Golduck, wombat
Charlie Pagac, Seadra, llama
Wilmer Reichert, Staryu, oyster
Miss Carrol Swift, Venomoth, yak
Pennie Thompson DDS, Pikachu, baboon
Miss Kenton Feeney, Psyduck, zebra
Marci Marks, Paras, alligator
Miss Kiersten Pollich, Weepinbell, butterfly
Melvin McLaughlin, Metapod, hippopotamus
Mrs. Christoper Hermann, Jolteon, skunk
Issac Leuschke, Abra, yellowjacket
Dr. Elden Gottlieb, Kangaskhan, yak
Miss Shanna Roberts, Charizard, crab
Samara Hayes II, Rattata, trout
Miss Cruz Koss, Charizard, gerbil
Bobby Denesik, Golem, dog
Janyce Batz, Ditto, donkey
Meta Kuhlman, Koffing, toad
Mr. David Terry, Electrode, porcupine
Donnell Krajcik, Starmie, locust
Phillip Bashirian, Rhydon, elk
Stephnie Fisher, Mewtwo, eel
Peggy Ebert MD, Aerodactyl, fish
Vasiliki Jacobson, Pidgeot, grasshopper
Luis Bergnaum, Machamp, moose
Kellye Stanton, Electrode, beetle
Laurine Padberg, Venonat, crocodile
Kizzie DuBuque, Abra, hamster
Olga Durgan, Eevee, horse
Ellan Turner, Ponyta, platypus
Guadalupe Dietrich, Ditto, cicada
Theron Haag, Arbok, salmon
Willian Hettinger, Electabuzz, horse
Ms. Lola Smith, Alakazam, wasp
Janiece Fritsch, Zubat, alpaca
Rima Runte, Magikarp, crow
Johnie Kuhic, Venomoth, spider
