Isreal Schaefer, Machamp, water buffalo
Joel Boyle, Cubone, mouse
Brett Jerde MD, Ekans, gnat
Dorthey Medhurst, Marowak, cheetah
Beau Dicki PhD, Snorlax, mole
Jerrell Schoen, Persian, cattle
Nerissa Lynch, Weepinbell, worm
Allena Hills, Squirtle, cheetah
Cameron Waters, Snorlax, water buffalo
Clyde Bogisich, Electrode, oyster
Andre Bailey MD, Vaporeon, trout
Lorine Orn, Poliwrath, rhinoceros
Berry Cormier, Wigglytuff, hare
Casey Howell DDS, Voltorb, louse
Claudio Casper, Horsea, oyster
Ludie Hand, Hitmonchan, hippopotamus
Porsha Corkery, Mankey, mallard
Miss Mac Balistreri, Ekans, frog
Phillip Paucek, Nidoran, caribou
Myrtle Wilderman, Exeggcute, pug
Cherelle Nader, Kadabra, bear
Antoinette Bechtelar, Jynx, beaver
Harold Altenwerth V, Rhydon, fox
Melvina Barton III, Kakuna, prairie dog
Mazie Dooley I, Slowbro, prairie dog
Jerold Feeney, Gyarados, water buffalo
Adeline Osinski, Grimer, yak
Mrs. Vern Watsica, Squirtle, jellyfish
Ayako Dooley MD, Growlithe, ape
Henriette Schuster Jr., Ditto, koala
Dr. Exie Ratke, Omanyte, louse
Chong Fay, Poliwrath, cheetah
Mayra Hyatt, Porygon, water buffalo
Wilfredo Daugherty, Geodude, manatee
Mr. Edwin Bergstrom, Wigglytuff, louse
Jose Boyer V, Cubone, mallard
Jolanda Cronin, Tauros, ape
Pablo West, Drowzee, alpaca
Madison Huels, Exeggcute, whale
Ava Hand, Growlithe, seal
Nathanial Kihn, Sandshrew, mule
Winston Hermann, Alakazam, yak
Kristian Hackett, Marowak, jellyfish
Jessie Schmeler, Marowak, toad
Chau Durgan, Kingler, bat
Mr. Roxann Tromp, Machamp, cat
Cory Littel, Gastly, skunk
Sade Denesik, Doduo, swan
Jason Kshlerin, Arbok, rat
Diego Murazik, Tangela, mammoth
