Marlyn Yundt, Magikarp, raccoon
Kory Hermiston, Exeggcute, toad
Chase Casper, Chansey, snake
Brendon Kunze, Gloom, swan
Fleta Bradtke, Poliwag, wildebeest
Mrs. Yong Baumbach, Omastar, wildebeest
Genaro Brekke, Pinsir, yak
Miquel Walsh, Jigglypuff, koala
Ms. Laura Reinger, Wigglytuff, pug
Curt Klocko, Ditto, giraffe
Annelle Hermann II, Farfetch'd, jackal
Mrs. Rebeca Hills, Diglett, alligator
Nery Deckow, Ivysaur, cockroach
Suzanna Runolfsdottir, Jigglypuff, eagle
Alona Hudson, Pidgeot, panda
Winston Wilderman, Zapdos, worm
Leeanna Carroll, Magmar, seal
Estela Kemmer, Electrode, otter
Eloise Goyette, Dratini, ferret
Antoine Morissette I, Slowbro, butterfly
Marchelle Heaney, Arbok, hare
Quinn Schmeler, Golem, alligator
Dr. Jackeline Borer, Raichu, mammoth
Lionel Paucek V, Electrode, crab
Elnora MacGyver IV, Persian, badger
Renato Wilderman MD, Abra, turtle 
Ross Raynor, Gloom, sardine
Marge Kilback, Electabuzz, minnow
Eugenio Wiegand, Grimer, elk
William Mohr, Chansey, gorilla
Ronda Parker, Machop, duck
Errol Auer MD, Pinsir, ox
Frankie Greenfelder V, Articuno, dolphin
Junie Gleason, Arbok, baboon
Latasha Howell, Magikarp, wolf
Shay Lockman, Charmander, alligator
Corinne Dare, Nidorino, guinea pig
Debbra Cartwright, Clefable, eagle
Mr. Josh Tillman, Poliwhirl, squirrel
Farah Kshlerin DDS, Venonat, mouse
Alexander Kunde, Nidoran, gorilla
Veta Gleason, Rhydon, macaw
Dr. Dinorah Bergstrom, Venomoth, swan
Karl Flatley, Seel, alligator
Duane Lowe, Ditto, wombat
Barbera Ratke, Kabutops, baboon
Gussie Runolfsson IV, Weezing, ant
Quincy Purdy, Sandshrew, woodchuck
Mrs. Travis Senger, Poliwrath, beaver
Manuel Rippin, Magnemite, beetle
