Nathan Kertzmann, Rapidash, monkey
Sol Rice, Wartortle, dolphin
Clair Kiehn, Rapidash, hound
Chris Kshlerin, Nidorina, herring
Ms. Clarence Watsica, Electrode, monkey
Gene Berge Jr., Nidoran, ant
Bradford Ward, Ivysaur, muskrat
Ms. Boyd Kshlerin, Graveler, beetle
Shamika Gottlieb V, Dewgong, skunk
Eldridge Spinka, Tentacool, horse
Silas Oberbrunner I, Rhyhorn, cockroach
Tijuana Cassin, Lickitung, salmon
Clyde Dicki, Rhydon, swan
Miss Van Schoen, Jigglypuff, giraffe
Jose Huels IV, Venusaur, lion
Darnell Bechtelar, Rhyhorn, trout
Renae Prosacco, Exeggutor, herring
Elfriede Bradtke Sr., Machamp, rabbit
Judson Zieme, Parasect, mouse
Freddy Luettgen, Seel, toad
Cleo Mueller III, Hitmonchan, llama
Marilyn Harris, Gyarados, cricket
Lincoln Strosin, Nidorina, hippopotamus
Rayford Goodwin II, Graveler, goose
Lenard Rodriguez IV, Ninetales, hound
Dr. Cleopatra Davis, Krabby, beaver
Arvilla Stanton, Flareon, crocodile
Mel Okuneva, Rattata, salmon
Milissa Rohan V, Marowak, skunk
Angie Auer, Ekans, beetle
Mel Stoltenberg, Diglett, duck
Lowell Christiansen, Primeape, koala
Val Williamson, Rattata, shark
Gail Considine, Dewgong, hornet
Peter Ward, Goldeen, donkey
Palmer Hansen, Tauros, guinea pig
Chadwick Kihn, Scyther, gnu
Ms. Oliver Kuvalis, Victreebel, giraffe
Jacquetta Kuphal, Arcanine, coyote
Tatiana Batz, Wartortle, snake
Sharan Howell, Squirtle, giraffe
Lewis Cremin, Tentacool, mouse
Cyrstal Hoeger, Dewgong, koala
Ms. Ewa Heller, Venusaur, hyena
Wayne Borer PhD, Rapidash, cricket
Dr. Louis Vandervort, Zapdos, mole
Mr. Rayford Klocko, Krabby, moose
Jerrell Heaney, Gastly, hyena
Karmen Schuppe, Tentacruel, ant
Callie Kerluke, Geodude, mole
