Adelaide Feeney DDS, Slowpoke, worm
Mrs. Salvatore Toy, Rhyhorn, cattle
Elden Jacobson, Victreebel, antelope
Miss Dovie Wolff, Charmeleon, yellowjacket
Kirstie Ondricka III, Krabby, badger
Lupe Larkin, Jigglypuff, rat
Chae Labadie, Poliwag, sardine
Kendra Marks IV, Nidoqueen, tortoise
Franklin Vandervort, Poliwag, hamster
Sanora Schuster, Venomoth, crocodile
Ms. Caren Walter, Golbat, antelope
Rosaline Schneider I, Dugtrio, sheep
Ashley Connelly, Victreebel, tortoise
Machelle Kiehn, Raichu, antelope
Ivelisse Corkery III, Arcanine, elk
Michiko MacGyver, Rapidash, dolphin
Song Romaguera, Charizard, koala
Miguel Gleichner, Cubone, woodchuck
Kelsi Schulist, Articuno, elephant
Eura Russel, Jynx, clam
Ben Kuhn III, Pidgey, shark
Salvatore Bahringer, Slowpoke, goose
Alethea Hackett, Ponyta, dinosaur
Nanci Powlowski, Squirtle, porcupine
Omar Carroll, Kingler, worm
Carri Hamill Jr., Mr. Mime, porpoise
Emile Stark, Goldeen, monkey
Mrs. Leon Harber, Marowak, mule
Robby Brown, Exeggutor, beetle
Kenneth Morissette, Wartortle, wombat
Miss Terrell Roob, Persian, cod
Cristin Bailey, Arcanine, porpoise
Terrell Paucek, Gastly, ant
Orlando Schuster, Machop, sea lion
Tangela Champlin IV, Gloom, gerbil
Mr. Antione Ritchie, Clefable, moose
Miss Drew Emmerich, Oddish, goat
Kent Koch, Koffing, bear
Selma Wisozk II, Bellsprout, bat
Tyrone Doyle, Mewtwo, prairie dog
Sebastian McClure, Lapras, mule
Dr. Vivan Beer, Sandshrew, reindeer
Larraine Johnston, Weepinbell, cicada
Emilia Hyatt IV, Horsea, tiger
William Hegmann, Squirtle, wolf
Dusty Greenfelder DDS, Primeape, mouse
Shiloh Oberbrunner, Kabutops, marten
Dr. Kurtis Bednar, Psyduck, oyster
Harry Kiehn, Grimer, woodchuck
Omega Mohr, Mewtwo, ferret
