Margarito Paucek, Scyther, frog
Temika Runolfsson, Nidoking, cod
Emory Weimann, Omanyte, hippopotamus
Dr. Prudence Hand, Ditto, tiger
Jillian Friesen, Vaporeon, giraffe
Barabara Fadel DDS, Geodude, porpoise
Terina Dickinson, Charmeleon, hornet
Mrs. Hedwig Reichel, Pidgey, serval
Alex Cummerata, Hitmonlee, eel
Andrea Kris, Scyther, giraffe
Whitney O'Conner, Nidorina, pug
Earnest Hane, Poliwag, dinosaur
Miss Rayna Sanford, Metapod, antelope
Lynn Fahey, Bulbasaur, cod
Eliseo Roob, Seaking, jackal
Norberto Bartell, Slowbro, bear
Cherish Auer, Vileplume, baboon
Phil Kuhn, Aerodactyl, frog
Mrs. Tessie Ritchie, Nidorino, badger
Leah Price, Horsea, baboon
Ettie Kris, Clefable, coyote
Ethelyn Huels, Parasect, hare
Marget Leannon, Graveler, tiger
Mrs. Grover Mohr, Porygon, yak
Earnest Muller, Poliwrath, coyote
Miss Jamison Price, Rattata, llama
Ken Jacobi II, Nidoking, dolphin
Armando Ryan, Snorlax, porpoise
Jade Torp, Porygon, mammoth
Adriana Mante, Kadabra, sheep
Forrest Jacobs, Kakuna, zebra
Eufemia Schneider, Lapras, grasshopper
Reginia Stiedemann, Articuno, scorpion
Paige Grant, Abra, camel
Candra Herman, Blastoise, snail
Miss Albert Gleason, Poliwag, porcupine
Felicidad Osinski, Venusaur, eagle
Ken McKenzie, Blastoise, frog
Joyce Stamm, Pidgeot, goose
Huey Schowalter I, Zubat, sardine
Mrs. Tad Schuppe, Tangela, manatee
Keitha Grant, Graveler, goat
Vernell Sawayn, Articuno, whale
Mrs. Arnold Little, Dugtrio, deer
Jeanne Cronin, Marowak, serval
Juliann Brakus, Vileplume, ant
Samual Glover III, Kingler, lion
Ms. Cole Lockman, Vileplume, reindeer
Dr. Yolonda Sporer, Kabuto, dinosaur
Weston Tillman, Dodrio, ant
