Mr. Delmer Mosciski, Krabby, clam
Perry Robel, Ninetales, fly
Rhett Christiansen, Machamp, seal
Jesse Rogahn PhD, Jynx, butterfly
Hugh Koelpin I, Omanyte, beetle
Sydney Howell, Venonat, raccoon
Sal Miller Sr., Oddish, dinosaur
Miss Arnold Metz, Mewtwo, monkey
Vance Effertz, Kabutops, frog
Wilfred Lang, Venonat, mole
Dr. Ike Brekke, Grimer, lion
Ilona Harvey V, Onix, pig
Reba Jakubowski, Clefable, cockroach
Flor Fadel, Alakazam, kangaroo
Tyree Frami Sr., Nidoran, sea lion
Lurline Dare, Blastoise, skunk
Gaylord Waters, Fearow, cat
Shanda Rempel, Golbat, crab
Milford Harris, Nidorino, toad
Yahaira Nader, Cloyster, swan
Ora Gleason, Abra, crow
Geoffrey Fahey, Graveler, badger
Allen Witting Jr., Mewtwo, cicada
Ms. Adam Fritsch, Arcanine, moose
Gregoria Tromp, Muk, lion
Kendrick Reinger, Dragonair, mule
Cythia Weissnat DDS, Geodude, elk
Miss Clayton Rolfson, Beedrill, chimpanzee
Cordie Rohan Sr., Pinsir, horse
Arthur Bernhard, Ivysaur, fish
Dr. Niesha Williamson, Chansey, clam
Mr. Charita Parisian, Moltres, impala
Darrell Nikolaus DDS, Bulbasaur, spider
Ms. Cory Cummerata, Slowpoke, swan
Odette Cremin, Kadabra, eagle
Murray Johns, Flareon, trout
Neta Block, Nidoking, horse
Yoko Purdy, Weepinbell, sea lion
Tameka Blanda, Persian, wolf
Ms. Essie Purdy, Jigglypuff, jellyfish
Nona Macejkovic IV, Kabuto, gorilla
Kenia Wilderman, Spearow, salmon
Tracie Welch, Dugtrio, elephant
Dr. Kurtis Marvin, Spearow, trout
Mr. Holley Windler, Vileplume, woodchuck
Filiberto Parker, Farfetch'd, elephant
Marita Kuhic, Raticate, water buffalo
Zack Quigley MD, Caterpie, chimpanzee
Sunshine Berge, Charizard, water buffalo
Miss Erwin Schaefer, Charmander, donkey
