Kasha Buckridge, Persian, dog
Kris Murazik, Arbok, weasel
Gema Crooks, Primeape, yak
Gladis Brakus IV, Arcanine, wombat
Jarrod Pouros, Mew, muskrat
Dr. Lakiesha Paucek, Weezing, panda
Donte Hills, Charmander, scorpion
Mel Kerluke, Electabuzz, skunk
Soledad Bauch, Dewgong, hare
Hannah Purdy, Marowak, eel
Sol Gislason, Cubone, bear
Philip Heller Sr., Clefairy, herring
Mrs. Mayola Hane, Ditto, lizard
Mrs. Liberty Bergnaum, Hypno, gorilla
Glen Dooley, Weedle, yellowjacket
Else Konopelski, Parasect, beaver
Mrs. Izetta Hoeger, Sandshrew, pug
Salena Green, Dragonite, baboon
Shawana Denesik, Magikarp, yak
Markus Howell, Diglett, skunk
Byron Crona, Moltres, hound
Ashley Cremin DVM, Scyther, reindeer
Dr. Gregory Carter, Omastar, mammoth
Mrs. Kim Haag, Cubone, sea lion
Gerard Rau, Gloom, weasel
Cary Considine, Exeggcute, grasshopper
Miss Darwin Weimann, Haunter, oyster
Mrs. Vaughn Volkman, Lapras, rabbit
Marvin Schmeler, Staryu, hedgehog
Corey Farrell I, Mewtwo, swan
Louis Hauck, Jigglypuff, termite
Tomas Goodwin, Dratini, worm
Mary Davis, Nidorina, fish
Bryan Yundt, Magnemite, sardine
Lashonda Waters, Exeggutor, wombat
Irwin Graham, Flareon, mosquito
Mr. Kenisha Macejkovic, Goldeen, mink
Jonnie Emard, Exeggutor, fly
Robin Kovacek, Gyarados, marten
Lula Murray, Krabby, duck
Amado Mraz I, Meowth, elk
Madge Farrell, Electrode, hyena
Eloy Walter IV, Nidorino, fish
Alexander Leuschke DDS, Golbat, baboon
Cleo Nienow, Poliwag, armadillo
Rebbecca King, Clefable, sea lion
Merri Corkery, Tangela, prairie dog
Mrs. Sarai Gutmann, Weepinbell, wallaby
Thea Adams MD, Dewgong, tiger
Nicky Paucek, Hitmonchan, platypus
