Jenelle Morissette, Dodrio, grasshopper
Jolyn Kemmer, Eevee, baboon
Mrs. Sang Aufderhar, Haunter, buffalo
Mark Baumbach, Aerodactyl, grasshopper
Huey Wunsch, Venusaur, lion
Rubye Cormier III, Slowpoke, goldfish
Bart DuBuque, Nidorina, pig
Shirlene Gulgowski, Magmar, jackal
Edwin Hackett, Nidoking, lizard
Foster Lubowitz, Bulbasaur, monkey
Damion Sipes Sr., Bulbasaur, mosquito
Josiah Pfannerstill, Fearow, bat
Nancy Kassulke IV, Psyduck, beaver
Desirae Larson, Golbat, caribou
Lindsey Mosciski Jr., Omastar, tiger
Flo Kling, Hypno, giraffe
Letitia Feil, Krabby, cat
Mrs. Yon Kunde, Omastar, horse
Tuan Adams V, Mr. Mime, guinea pig
Miss Josefina Kerluke, Bellsprout, jellyfish
Reva Grant, Grimer, goat
Jonah Bahringer DVM, Wigglytuff, elephant
Rebbeca Ratke Sr., Golduck, snail
Inell Haag, Moltres, hornet
Dr. Tinisha Lockman, Marowak, salmon
Sheridan Kerluke, Bulbasaur, raven
Kelley Boyer, Poliwrath, rabbit
Marlys Schimmel, Marowak, dinosaur
Johnathon Cremin, Marowak, clam
Norman Considine, Arbok, raccoon
Darrell O'Hara Jr., Cloyster, armadillo
Wendell Streich MD, Kabutops, lion
Etsuko Quigley, Gengar, panda
Zada Feeney, Pidgeot, koala
Glennis Bosco Sr., Graveler, crocodile
Burl Runolfsdottir, Venusaur, ant
Dr. Harley Murphy, Dodrio, armadillo
Nestor Lynch II, Poliwrath, prairie dog
Angelo D'Amore, Dragonite, mosquito
Minda Rice, Scyther, chinchilla
Dannette Orn III, Golem, beaver
Lanie Stamm, Nidoran, wombat
Darrin Dare, Arbok, fox
Mrs. Donald Stokes, Metapod, goldfish
Danielle Baumbach, Seel, alpaca
Corey Jerde, Grimer, yak
Heriberto Halvorson, Seel, ape
Kathaleen Rempel, Horsea, ox
Dr. Andy Pollich, Dodrio, rabbit
Amee Dickens, Kingler, woodchuck
