Jordon Romaguera, Lapras, chinchilla
Bonnie Ward V, Omastar, scorpion
Alba Pollich, Snorlax, chimpanzee
Lakenya Lesch, Raichu, elk
Dr. Collin Schmitt, Pidgeot, fox
Lionel Wolff, Electabuzz, cricket
Dr. Keturah Ferry, Venonat, bee
Mr. Leonie Jaskolski, Gloom, serval
Glen Hyatt, Nidoran, cod
Kristan Deckow, Psyduck, porpoise
Magali Dietrich, Pidgeotto, cattle
Ami Collier, Marowak, dolphin
Mitch Emard, Tentacool, spider
Penny Shields, Clefable, alligator
Alyse Dare, Magnemite, leopard
Dana Macejkovic, Raticate, wombat
Lindsey Jacobs, Bulbasaur, donkey
Mr. Eric Friesen, Weedle, turtle 
Santo Mayer, Lickitung, gnat
Lesley Sipes, Abra, antelope
Eusebio Weissnat, Onix, crow
Woodrow Kozey, Venusaur, wallaby
Len Tromp Jr., Nidoran, eagle
Mrs. Magaret Pfannerstill, Tentacruel, cod
Mohammed Gerlach PhD, Clefairy, hyena
Germaine McGlynn, Tangela, dinosaur
Fallon Schumm, Dratini, porpoise
Derek Stiedemann, Tauros, cat
Dr. Santa Schiller, Magnemite, bat
Zachery Jakubowski, Rapidash, louse
Landon Hodkiewicz, Gastly, gorilla
Joann Franecki, Starmie, gnat
Ashleigh Kautzer MD, Oddish, goat
Neida Hammes, Chansey, crab
Damion Lind, Rapidash, serval
Chun Jast, Omastar, monkey
Ms. Berniece Jaskolski, Venonat, mallard
Darius Kilback IV, Beedrill, cicada
Virgil Robel, Zapdos, cheetah
Roland Marvin V, Primeape, giraffe
Chet Klein, Slowpoke, leopard
Hubert Spencer, Kabuto, antelope
Tomas Labadie MD, Porygon, toad
Mauro Green MD, Nidoking, chimpanzee
Dede Fahey, Ninetales, marten
Zachariah Heller Jr., Magmar, alligator
Brady Kemmer, Drowzee, raccoon
Mrs. Jerrell Runolfsson, Pinsir, horse
Maye Boyle, Pinsir, macaw
William Yost, Exeggutor, mosquito
