Ms. Rick Dickens, Dragonite, raven
Tangela Reinger, Tentacruel, woodchuck
Brian Green PhD, Alakazam, mammoth
Saul Raynor DVM, Mewtwo, eagle
Nigel Greenfelder, Butterfree, buffalo
Johnnie Grimes Jr., Machop, otter
Laquita Cormier III, Charmander, bat
Reggie Altenwerth, Porygon, manatee
Tyisha Smith, Mewtwo, spider
Melodi Fahey, Weepinbell, ape
Pennie Towne, Poliwag, deer
Joaquin O'Reilly Sr., Gastly, zebra
Zachariah Beahan, Mewtwo, bear
Kelley Rodriguez, Dragonair, mosquito
Jona Brown DDS, Weepinbell, dog
Christal Gorczany, Aerodactyl, mole
Efrain Keebler MD, Onix, ferret
Monika Zulauf, Kangaskhan, rabbit
Kristan Hamill, Poliwhirl, tiger
Maple Emmerich, Nidoran, prairie dog
Myesha Gulgowski V, Golem, chimpanzee
Sybil Schmeler, Rapidash, bear
Brady McCullough, Venonat, baboon
Bert Welch, Ditto, bat
Dario Lemke, Electrode, cattle
Harris Ondricka DDS, Sandshrew, seal
Geoffrey Koch, Venomoth, weasel
Akilah Turner, Lickitung, wildebeest
Shawnee Stroman, Slowbro, macaw
Augustus Ruecker, Kabutops, mole
Mrs. Fernando Davis, Onix, crab
Dannette Brekke, Kakuna, raven
Garth Quitzon, Primeape, baboon
Emilee West, Starmie, buffalo
Jaime Collier, Aerodactyl, herring
Hui Bergstrom, Raticate, zebra
Mrs. Gertie Stoltenberg, Scyther, mallard
Ms. Brittny Torphy, Nidoran, crab
Roxie Klein, Mr. Mime, shark
Brinda Marquardt MD, Venusaur, toad
Stewart Beahan, Wartortle, elk
Leif Walter, Goldeen, bee
Miss Adolph Pouros, Metapod, clam
Mohammed Prohaska, Mankey, dolphin
Thanh Schroeder, Abra, coyote
Rosario Yost, Voltorb, cheetah
Lisbeth Torphy, Machamp, grasshopper
Ms. Betsey Roberts, Pidgey, llama
Mrs. Rana Ernser, Bellsprout, salmon
Miss Grady Kovacek, Nidorino, kangaroo
