China Brekke DDS, Machop, caribou
Brooks Schulist, Kakuna, buffalo
Reed Lueilwitz V, Nidoran, walrus
Mrs. Kimber Gerlach, Kangaskhan, cricket
Ermelinda Gutmann IV, Omastar, spider
Victorina Deckow, Scyther, mule
Gerald Prosacco, Vileplume, crab
Mika Heidenreich, Omanyte, buffalo
Francie Streich, Diglett, weasel
Mr. Latarsha Parisian, Poliwhirl, moose
Jarvis Macejkovic, Kakuna, woodchuck
Domingo Boyer, Raticate, tortoise
Eddie Leuschke, Dugtrio, platypus
Noah DuBuque, Nidoran, gnu
Jimmy Huels, Vulpix, frog
Elmo Fadel, Pikachu, hare
Lakia Kutch, Meowth, crocodile
Madelaine Yundt, Voltorb, mule
Petronila Herman, Vaporeon, wallaby
Armando Auer DVM, Dodrio, hound
Cliff Windler, Weedle, woodchuck
Miss Blair Lueilwitz, Dratini, mouse
Mrs. Antonio Nader, Gyarados, giraffe
Nicky Rau, Jynx, cricket
Nga Terry, Arcanine, turtle 
Joe Medhurst, Gengar, horse
Kristan Hessel, Nidoqueen, cricket
Mercedes Johnson, Tentacool, yellowjacket
Enedina Rippin, Articuno, trout
Carmine Gleichner, Caterpie, gerbil
Rudolf Ruecker, Farfetch'd, crow
Marcel O'Conner MD, Kingler, llama
Rodger Ziemann, Hypno, porpoise
Gricelda Schimmel, Zubat, minnow
Roseann Padberg, Machoke, monkey
Mrs. Migdalia Wisozk, Rhydon, zebra
Ms. Alec Luettgen, Metapod, tiger
Hiram Goodwin, Poliwrath, snail
Quincy Oberbrunner, Tauros, louse
Mr. Coleen Willms, Krabby, moose
Alejandro Gorczany, Dewgong, beetle
Ambrose Franecki, Golem, tortoise
Sergio Ankunding, Rattata, donkey
Louella Roberts, Gengar, eel
Ms. Rosaura Gibson, Dragonair, fly
Dr. Burt Stroman, Machoke, dinosaur
Dr. Yuri Christiansen, Wigglytuff, moose
Deandra Wisozk, Nidoking, cod
Charlette Mante, Magikarp, manatee
Willodean Spinka, Aerodactyl, sheep
