Refugio Schmidt, Graveler, jellyfish
Trula Kuhn, Squirtle, hound
Robbi Sanford, Drowzee, rabbit
Von Collins II, Gastly, macaw
Saul Zieme, Slowpoke, rabbit
Raleigh Prohaska, Hitmonchan, pug
Donnell Hamill, Onix, woodchuck
Stephania Bechtelar Jr., Arcanine, gorilla
Marvin Lakin IV, Arbok, fly
Dennis Stanton DVM, Charmander, leopard
Eusebia Kihn, Magneton, beaver
Ronald Barton MD, Shellder, dinosaur
Randee Corwin, Cubone, impala
Miss Brandi Schultz, Nidoking, mallard
Leonora Lakin, Tauros, wasp
Korey Green, Dugtrio, cockroach
Clemmie McCullough, Alakazam, fox
Hollie Rutherford, Poliwrath, beaver
Elli Grady, Staryu, wildebeest
Tawanda Balistreri, Magmar, serval
Damon Wilderman, Nidoran, cattle
Ira Abshire MD, Electrode, eagle
Carrol Dooley, Raichu, tiger
Brad Zemlak II, Charizard, herring
Setsuko Sipes, Pidgey, koala
Steve Kiehn, Slowpoke, seal
Emmitt Goldner II, Aerodactyl, impala
Milagros Mills, Charmeleon, snail
Marylin Langosh, Jolteon, panda
Jonathan Graham, Marowak, pig
Benton Kemmer, Onix, wasp
Anh Lowe MD, Blastoise, spider
Theresia Wolf, Voltorb, pig
Rayna Larson PhD, Gyarados, ox
Mr. Rolland Murray, Moltres, louse
Gordon McGlynn II, Weezing, jellyfish
Tobias Leuschke III, Grimer, lizard
Magda Mann II, Nidoking, mallard
Elodia Hane, Seel, hare
Glory Nitzsche, Jigglypuff, coyote
Danyell Rice, Weezing, cicada
Zackary Dibbert, Weezing, gnat
Nigel Veum, Vaporeon, clam
Sandra Kuhlman, Cubone, pug
Dawna Kirlin, Charmeleon, alpaca
Augustus Hartmann, Arcanine, deer
Althea Rutherford, Poliwhirl, alligator
Carmel Kulas, Nidorina, mallard
Mora Terry, Kabutops, hippopotamus
Jacquelynn Bartoletti II, Seadra, turtle 
