Dennise Swaniawski II, Chansey, fox
Joy Weissnat, Psyduck, hamster
Dimple Schumm, Onix, elephant
Jacquelynn Cummerata, Pidgeotto, weasel
Avery Baumbach, Rhyhorn, jackal
Ed Grant II, Tentacruel, fox
Ms. Bob Wilkinson, Jigglypuff, seal
Ms. Tanja Marquardt, Hitmonchan, porcupine
Dane Kreiger Jr., Venusaur, yellowjacket
Boyd Wilkinson, Golduck, mallard
Carmelo Nitzsche, Jigglypuff, leopard
Miss Teodoro Jacobson, Golduck, weasel
Lawrence Upton, Rhydon, yellowjacket
Terrence Sawayn, Shellder, impala
Rosita Goyette, Exeggutor, dog
Gonzalo Koss, Machamp, wasp
Christopher Johnston, Seadra, worm
Rocky Abbott, Dewgong, locust
Willy Hilpert, Horsea, reindeer
Marvin Tillman I, Psyduck, shark
Lydia O'Hara, Golem, beetle
Elsie Dickens, Golem, snake
Raul Cartwright DDS, Fearow, gnat
Rich Wolf, Pikachu, caribou
Carlita Stokes Jr., Rapidash, goat
Kenyetta Grimes III, Oddish, gnu
Dr. Blanch Leffler, Rattata, oyster
Florence Haley, Kangaskhan, mouse
Sunny Hand, Nidoran, otter
Michel Koch IV, Wigglytuff, tortoise
Miss Glen Feil, Ninetales, pig
Armando Hirthe, Seadra, moose
Ms. Boyd Nader, Arbok, oyster
Edelmira Fadel, Fearow, mallard
Russell Fadel DDS, Kingler, antelope
Jewel Feil, Gyarados, leopard
Ms. Thad Maggio, Jigglypuff, koala
Homer Rodriguez, Golbat, jackal
Carol Schuster, Blastoise, marten
Svetlana Wyman, Dewgong, raccoon
Tien Buckridge, Exeggcute, leopard
Miss Britteny Lind, Tauros, woodchuck
Dr. Breana Kuhic, Lickitung, termite
Agustin Kirlin, Mr. Mime, platypus
Leida Bradtke, Tangela, sardine
Mrs. Felix Koepp, Oddish, kangaroo
Mrs. Marvin Schumm, Rattata, minnow
Marion Mosciski, Koffing, wasp
Vallie Kunze, Dragonair, caribou
Kareem Brakus PhD, Beedrill, weasel
