Humberto Christiansen, Poliwhirl, sea lion
Jordan Lueilwitz, Mewtwo, lion
Leo Corwin, Jynx, serval
Ray McGlynn, Gyarados, eel
Deandrea Frami, Clefable, ape
Mercedes Mueller, Pidgeot, armadillo
Aron Orn, Arbok, tiger
Mr. Zelda Schaden, Golem, seal
Alfred Weimann, Wigglytuff, wallaby
Deeann Schumm, Exeggcute, ant
Magdalene Koss, Nidoqueen, monkey
Fae Jones, Machop, mole
Lavada Cormier, Nidorino, horse
Brunilda Hahn, Fearow, porpoise
Clarice Schroeder, Krabby, ferret
Bernard Graham, Machoke, hare
Major Strosin, Ekans, otter
Lynn Carter, Arcanine, beaver
Dalton Wisoky, Nidoran, monkey
Catrice Rath, Goldeen, rabbit
Rafael Hane, Alakazam, ferret
Tamatha Kunde, Arbok, toad
Annabelle Bashirian, Seel, hedgehog
Ms. Wendie Hansen, Ekans, sheep
Harley Bayer, Tauros, bat
Ms. Jon Torphy, Clefable, bear
Kattie Kemmer, Clefable, caribou
Cathey McKenzie DVM, Nidoran, turtle 
Spencer Brakus, Koffing, sardine
Lorenza Ullrich, Wigglytuff, hedgehog
Janyce Nitzsche, Voltorb, hound
Sebastian Weber, Pidgeotto, whale
Philip Hudson, Goldeen, beaver
Dwain Macejkovic, Omastar, antelope
Oren Waters, Krabby, badger
Jacqui Dibbert, Seel, serval
Britni Cronin, Nidoran, trout
Donny Spinka, Zapdos, reindeer
Olene McKenzie, Electabuzz, squirrel
Miss Rusty Langosh, Golem, fish
Luigi Davis, Dragonite, kangaroo
Jewell Schmidt, Cloyster, prairie dog
Mr. Pasquale Lemke, Weepinbell, cheetah
Eliseo Paucek, Machamp, serval
Dr. Natalya Torphy, Nidoqueen, lion
Royce Durgan, Weezing, frog
Ms. Dorthy Rice, Exeggcute, gnat
Ms. Jed Glover, Gloom, sardine
Althea Hayes, Machamp, dog
Dr. Cortney Schamberger, Mewtwo, chinchilla
