Cami Hyatt, Dragonite, leopard
Victorina Anderson, Tentacool, serval
Shaun Nader III, Dugtrio, panda
Bernard Fisher, Raichu, hound
Ethan Goodwin, Golbat, antelope
Demarcus Legros III, Mewtwo, deer
Kiyoko Kessler DDS, Magnemite, panda
Blair Daniel, Pinsir, hound
Carolynn Fisher, Diglett, porcupine
Roger Kertzmann, Magikarp, wolf
Danilo Krajcik, Venusaur, kangaroo
Mckinley Stanton, Clefable, kangaroo
Dr. Justa Kautzer, Jolteon, gnat
Dr. Alvin Torp, Squirtle, guinea pig
Sarita Mills, Weepinbell, buffalo
Lashanda Hills, Vileplume, deer
Jimmie Cartwright, Omastar, wildebeest
Dr. Arnold Kunde, Dragonair, swan
Luba Ritchie, Slowpoke, reindeer
Izetta Crona, Poliwrath, mule
Scottie Smith, Magnemite, fish
Francis Wolff, Rapidash, crocodile
Miss Herma Sipes, Seaking, alligator
Xuan Hand, Clefairy, camel
Christoper McDermott I, Mankey, goose
Rogelio Russel Sr., Poliwrath, antelope
Roman Kerluke, Flareon, crocodile
Roderick Cole V, Doduo, horse
Terrell Witting, Kakuna, mole
Maya Krajcik Sr., Gastly, yellowjacket
Shari Christiansen, Jigglypuff, cat
Antone Renner, Meowth, yellowjacket
Woodrow Luettgen, Haunter, ferret
Mr. Yajaira Fisher, Dragonite, woodchuck
Rafael Powlowski, Squirtle, chinchilla
Ms. Buford Muller, Voltorb, macaw
Tamie Rutherford, Fearow, horse
Phil Barrows, Wigglytuff, dolphin
Chadwick Daugherty, Kadabra, reindeer
Raleigh McLaughlin, Kabutops, dog
Hyacinth Boyle, Pinsir, herring
Michal Keebler, Victreebel, horse
Mrs. Tyree Marks, Gyarados, antelope
Abel Legros, Dragonite, herring
Steven Reilly, Onix, serval
Alton Konopelski Sr., Mankey, hedgehog
Miss Roberto O'Hara, Golbat, donkey
Winona Frami, Clefable, lizard
Efren Hane, Hitmonlee, sardine
Vanita Grimes, Omastar, marten
