Winfred Littel I, Horsea, dog
Simon Kemmer IV, Kingler, hound
Debbie Glover V, Grimer, leopard
Carlo Howe III, Mr. Mime, hyena
Cecille Dicki, Poliwhirl, mule
Hector Goyette PhD, Alakazam, tiger
Theodore Kozey, Hitmonlee, reindeer
Blaine Koss, Mankey, minnow
Flora Kirlin, Tangela, wildebeest
Felton Leannon, Goldeen, clam
Marquis Towne V, Venomoth, snail
Mr. Sam Lakin, Tentacruel, woodchuck
Ms. Ferdinand Rodriguez, Wigglytuff, shark
Jerri Olson, Butterfree, gorilla
Micah Cruickshank, Vaporeon, pug
Marguerita Ruecker MD, Seaking, cicada
Dr. Jena Skiles, Ivysaur, ferret
Zachary Murazik II, Venusaur, turtle 
Iva Mann, Seel, mouse
George Keebler, Rattata, mallard
Nick Adams, Mr. Mime, butterfly
Ms. Madelyn Swift, Pinsir, mouse
Stacy McCullough, Metapod, whale
Ms. Kendall Walsh, Fearow, donkey
Madalene Bernhard, Jigglypuff, ant
Miss Nerissa Wilderman, Magneton, louse
Nicolasa Nicolas, Kadabra, wallaby
Telma Wunsch, Aerodactyl, minnow
Inga O'Connell, Clefable, rhinoceros
Caren Hudson, Golduck, zebra
Mr. Claudio Fahey, Squirtle, grasshopper
Miss Mario Mitchell, Wartortle, gnu
Arthur Prohaska DVM, Ivysaur, cricket
Jospeh Armstrong, Kabutops, bat
Claudio Emard, Poliwag, wolf
Melida Roberts, Drowzee, leopard
Renaldo Sanford, Magmar, kangaroo
Laverna Schinner, Growlithe, manatee
Jacquelyne Huel Sr., Drowzee, gnu
Antoine Cole, Ivysaur, goose
Flora Koelpin, Persian, guinea pig
Cedrick Kihn, Ivysaur, mule
Luz Beier, Seadra, porpoise
Shaniqua Luettgen, Oddish, rabbit
William Pfeffer, Dragonair, ox
Carmela Dickens IV, Machop, koala
Lindsay Bode, Charmeleon, porcupine
Mrs. Bertram Moen, Jigglypuff, mole
Oscar Daniel, Poliwrath, wallaby
Yu Christiansen, Victreebel, mammoth
