Felicitas Klein, Articuno, wallaby
Janel Johnson, Slowpoke, fish
Gordon Feest, Nidoqueen, prairie dog
Arturo Hessel, Nidorina, kangaroo
Elias Prosacco, Paras, mouse
Marcel Kirlin, Golbat, ape
Hayden Zulauf, Hypno, duck
France Morar, Magneton, reindeer
Kourtney Schaefer, Butterfree, louse
Miss Alysia Reynolds, Nidoran, spider
Cathy Lueilwitz Sr., Starmie, raven
Peter Herzog II, Squirtle, reindeer
Thomasine Baumbach, Seel, gnu
James Zemlak, Voltorb, sea lion
Ms. Junko Bauch, Magikarp, reindeer
Jolynn Kuphal, Geodude, wolf
Ms. Cleo Dibbert, Beedrill, badger
Arie McLaughlin III, Mewtwo, ferret
Lili Jacobs, Alakazam, porpoise
Gerry Jacobi, Pikachu, bear
Ms. Dillon Schamberger, Vaporeon, scorpion
Daine Veum, Paras, mallard
Mrs. Regena Paucek, Metapod, alligator
Alfonzo Wilkinson, Scyther, snake
Loren Von, Oddish, termite
Mrs. Jillian Will, Chansey, tortoise
Cythia Schaefer, Marowak, oyster
Stanley Effertz, Raichu, panda
Deshawn Reilly, Dragonite, lizard
Gilbert Jast, Haunter, raven
Teddy Heaney, Hitmonchan, armadillo
Nickie Boyle, Alakazam, snail
Quinton Towne Jr., Psyduck, trout
Galen Bauch, Diglett, squirrel
Rico Wilkinson, Diglett, yellowjacket
Patsy Veum DVM, Clefable, jellyfish
Sol Koelpin, Magikarp, hyena
Lupe Yundt, Lapras, raccoon
Benton Mills MD, Jynx, worm
Dr. Dillon Raynor, Gloom, impala
Lewis Wiza, Victreebel, cockroach
Nicol Lockman, Poliwag, water buffalo
Mr. Collin Ferry, Arbok, louse
Dr. Palmer Adams, Poliwag, baboon
Kris Zulauf, Ditto, grasshopper
Hal Rice DVM, Raticate, tortoise
Nora Gleichner, Butterfree, marten
Chieko Tremblay II, Bellsprout, reindeer
Bennett Bosco MD, Horsea, jackal
Miss Aurora Roberts, Eevee, rat
