Mohammad Jacobi V, Venomoth, horse
Alease Kassulke, Charizard, rhinoceros
Xavier Hills, Porygon, salmon
Enda Rempel, Kadabra, duck
Eilene Medhurst, Clefable, squirrel
Timmy Hauck, Spearow, worm
Ms. Will Jast, Dragonite, snake
Mr. Gerald Welch, Ivysaur, cockroach
Tarah Schuppe, Rhyhorn, bear
Edmund Pfannerstill, Nidoran, crab
Mira Beer, Nidoran, ox
Mr. Candie Rath, Doduo, lizard
Ms. Alfred Bosco, Dewgong, wildebeest
Marcelina Lowe, Tangela, cockroach
Emmie Lakin, Raticate, goat
Dannette Spencer, Seadra, weasel
Tressa Abshire, Golduck, grasshopper
Ms. Jame Fadel, Nidoqueen, marten
Miss Elton Lebsack, Vaporeon, gnat
Jama Hansen, Geodude, weasel
Lavenia Kihn, Staryu, squirrel
Roosevelt Gorczany II, Ninetales, reindeer
Roy Prohaska, Mew, fly
Kraig Gutkowski, Hitmonchan, horse
Hermine Rodriguez, Dratini, walrus
Tyler Mills, Exeggcute, whale
Amos Schiller, Shellder, lizard
Sal Renner, Hitmonchan, goat
Carlos Douglas, Primeape, elephant
Samuel Kiehn, Clefairy, duck
Echo Crist, Vileplume, zebra
David Kemmer, Dodrio, frog
Angelique Bechtelar, Flareon, cattle
Brendon Kirlin I, Poliwhirl, porpoise
Nestor Mann IV, Electrode, locust
Elliott Ondricka, Scyther, jackal
Mrs. Fletcher Yost, Dewgong, spider
Tandy Kihn Jr., Nidoqueen, cockroach
Delila Ortiz, Cloyster, panda
Camille Marks III, Slowpoke, scorpion
Charlie Greenholt, Poliwag, panda
Debbra Renner Sr., Nidorina, mammoth
Bernadine Cole, Rattata, goldfish
Ms. Hal Weimann, Arbok, gerbil
Ms. Herb Beer, Moltres, goat
Shawanna Parisian, Venomoth, cod
Sang Corkery, Kadabra, eagle
Macy Feil IV, Cubone, porpoise
Barton Weimann, Seaking, cheetah
Idell Cruickshank, Gloom, dinosaur
