Alyce Windler, Mew, mink
Kristy Johnston, Mr. Mime, goldfish
Shon Satterfield, Arbok, goldfish
Hipolito Bernier, Poliwag, giraffe
Kathyrn Little, Jolteon, hound
Hilda D'Amore, Lapras, seal
Tory Bahringer, Poliwag, donkey
Rayford Beier, Cubone, beetle
Curt Legros, Meowth, herring
Guillermina Boehm PhD, Dragonair, pig
Gwendolyn Kihn V, Staryu, termite
Mrs. Brendan Schuster, Weepinbell, pug
Ms. Alene Watsica, Caterpie, lion
Vernia Schiller, Moltres, sardine
Cherryl Nolan, Snorlax, caribou
Regena Kozey, Lapras, herring
Gerry Rodriguez, Electabuzz, elk
Mrs. Karly Lowe, Magnemite, fox
Joyce Hagenes, Kadabra, hare
John Ritchie, Krabby, shark
Chung Langosh, Wartortle, alligator
Shira Tremblay, Gloom, cockroach
Lu Schneider, Kingler, cricket
Quintin Reinger, Jigglypuff, alpaca
Shakira Nienow, Charmeleon, leopard
Dr. Mitchell Harvey, Aerodactyl, ferret
Bonny King, Hitmonlee, otter
Chris Bahringer, Squirtle, yellowjacket
Lianne Wintheiser IV, Weepinbell, clam
Malorie McKenzie, Pidgeotto, manatee
Kirby McKenzie, Machoke, muskrat
Toby Fritsch Sr., Nidorino, snake
Miles Jerde, Bellsprout, bat
Dr. Felica Kuhn, Staryu, clam
Christiana Franecki, Ekans, jellyfish
Omer Schneider, Magikarp, hamster
Phillip Davis, Cloyster, porpoise
Tony Collins MD, Poliwag, sheep
Demetrice Barrows, Vaporeon, mink
Ivette Satterfield II, Omastar, wallaby
Claude Volkman, Rhydon, toad
Kitty Weimann, Starmie, cat
Hobert Heaney, Gyarados, eagle
Miss Agustin Pfeffer, Magmar, armadillo
Keith Champlin, Charmander, jellyfish
Miss Isiah Bashirian, Raichu, yak
Anya Durgan PhD, Haunter, clam
Mollie Dickinson, Graveler, moose
Vesta Osinski, Golduck, water buffalo
Terrence Grady, Ekans, impala
