Ms. Leota Upton, Tangela, manatee
Gail Streich, Scyther, weasel
Melina Howell, Gastly, fly
Hoa Kulas Sr., Magmar, wasp
Benton White, Omanyte, fox
Nadia Raynor DDS, Cloyster, fish
Elli Bruen III, Abra, hedgehog
Lane Streich, Golem, whale
Timmy Labadie, Shellder, lizard
Talisha Swaniawski, Machamp, mammoth
Miss Florentina Hermiston, Victreebel, hornet
Nenita Mohr Jr., Dugtrio, gnat
Oliver Klocko, Vaporeon, hedgehog
Ms. Kevin Dicki, Horsea, chinchilla
Arie Abernathy, Mew, water buffalo
Ms. Jerrica Parisian, Pinsir, seal
Miss Josette Stiedemann, Magnemite, crab
Diego Treutel DVM, Machamp, serval
Luigi Witting, Venomoth, seal
Dr. Roberto Glover, Goldeen, bat
Terrell Fay, Nidorina, wolf
Anitra Senger, Rhyhorn, hyena
Mrs. Randy Wiegand, Victreebel, clam
Casandra Satterfield, Jigglypuff, wolf
Reena Moore III, Seaking, wombat
Mr. Adelina Ferry, Charmander, trout
Dora Kessler, Metapod, seal
Cleveland Johnston, Sandshrew, alligator
Rosalind Hintz DDS, Nidoran, otter
Brandi Mueller, Nidorino, gerbil
Mr. Marcelo Renner, Growlithe, porcupine
Kory Becker, Kadabra, porpoise
Mr. Kent O'Reilly, Porygon, crocodile
Chris Bartell, Nidorina, pig
Wilfred Rippin, Seel, dinosaur
Dr. Ahmad Monahan, Diglett, cricket
Mr. Christinia Stiedemann, Venomoth, shark
Kelle Tremblay, Parasect, bee
Merle Howe, Bellsprout, worm
Magdalena Kovacek, Shellder, crocodile
Mrs. Elsa Kreiger, Sandshrew, otter
Marlin Schaden DVM, Venonat, guinea pig
Debi Nitzsche, Pidgeot, seal
Shon Paucek, Electabuzz, yellowjacket
Dr. Hollis Abernathy, Electabuzz, butterfly
Neomi Schaefer, Fearow, marten
Miss Joseph Schneider, Nidoking, gnat
Jenelle Zieme DVM, Caterpie, walrus
Ela Kunde, Nidoran, caribou
Terence Kutch, Arcanine, elk
