Jutta Hintz, Venomoth, tortoise
Katelin Kulas, Rhyhorn, goat
Nestor Abernathy, Gastly, fish
Berry Hand, Scyther, chimpanzee
Shaunte Weissnat, Raichu, tiger
Janay Emard, Psyduck, sardine
Ali Strosin, Articuno, yellowjacket
Armandina Grimes, Vaporeon, seal
Mr. Leland Hansen, Mewtwo, chimpanzee
Dorian Schuppe, Kakuna, oyster
Daniel VonRueden, Beedrill, skunk
Arie Feil, Grimer, woodchuck
Carmine Gutkowski, Ponyta, marten
Jaime Cremin, Golem, raccoon
Rupert Monahan, Charizard, deer
Dr. Dewayne O'Kon, Kakuna, deer
Williams Leffler, Oddish, muskrat
Soraya Ankunding, Tentacruel, trout
Miki Corkery, Porygon, deer
Ozzie Kuhlman, Poliwhirl, sardine
Rayna Grimes, Mr. Mime, gnu
Oneida Hirthe I, Jolteon, frog
Logan Ledner, Ponyta, elephant
Dr. Denisse O'Conner, Beedrill, mink
Lynn Turner, Gloom, gerbil
Mr. Tashia Kreiger, Hitmonlee, herring
Ms. George Zulauf, Grimer, cricket
Ben Cole, Flareon, sea lion
Ines Ratke, Caterpie, tortoise
Angelo Schulist, Onix, locust
Palmira Maggio, Chansey, seal
Meg Christiansen, Oddish, donkey
Mr. Trinidad Friesen, Weepinbell, rat
Lovella Prosacco, Spearow, hound
Mrs. Jazmin Beahan, Mewtwo, koala
Mrs. Leigh Predovic, Electrode, locust
Leah Goodwin, Bellsprout, monkey
Dr. Ethan Schoen, Mankey, raccoon
Ms. Eneida Stark, Psyduck, porpoise
Willis Keebler, Vulpix, snail
Percy Considine, Gloom, butterfly
Evan Purdy, Venonat, mallard
Detra Hyatt, Magmar, toad
Sharolyn Bartell, Doduo, goldfish
Dr. Angelina Metz, Spearow, crow
Shari Mayer II, Muk, raven
Delbert Pagac, Pidgeotto, toad
Mr. Roland Rodriguez, Omanyte, porcupine
Francisca Rau IV, Gastly, deer
Titus Boyer, Squirtle, walrus
