Mora Oberbrunner, Magneton, goat
Dr. Milford Botsford, Grimer, bee
Carlee Borer, Machop, wildebeest
Josephine Murazik, Omanyte, salmon
Chadwick Hand, Mewtwo, locust
Rebbecca Renner DVM, Arbok, cattle
Allen Lebsack, Krabby, hound
Demetria Konopelski, Lapras, rat
Solomon Ratke, Hypno, horse
Bennett Hartmann, Zubat, baboon
Dr. Selene Skiles, Porygon, snail
Laurinda Abbott, Snorlax, alpaca
Alaina Medhurst, Pikachu, toad
Rafael Halvorson, Dugtrio, beetle
Josiah Kulas, Exeggcute, bear
Mrs. Jan Donnelly, Magmar, macaw
Dr. Denisha Tromp, Zapdos, ape
Kasey Ebert, Kingler, hedgehog
Douglas Ledner, Rhydon, dog
Margot Harris, Magnemite, sardine
Kayleigh Kuvalis, Grimer, water buffalo
Junior Hackett, Dratini, dog
Tobias Hilpert MD, Diglett, cattle
Leo Hermann, Mewtwo, skunk
Marisol Marvin, Golem, cricket
Fredrick Jacobi, Fearow, tortoise
Loree Parisian, Gengar, goat
Ria Runolfsdottir, Dragonite, alpaca
Cody Dickens, Golduck, reindeer
Mario Berge, Kingler, wolf
Ashely Bernier, Seel, mallard
Paula King, Venomoth, mouse
King Koch DDS, Clefable, ferret
Kerry Larson III, Grimer, minnow
Shanelle Walter, Slowpoke, buffalo
Rudolf Hills, Squirtle, gnat
Leon Koss, Tauros, chimpanzee
Miss Casie Schinner, Scyther, pug
Neal Mosciski, Metapod, ox
Mrs. Rodger Kilback, Seaking, chimpanzee
Omega Torp, Exeggcute, beaver
Nicolas Lemke, Gastly, serval
Demarcus Bosco, Metapod, marten
Michele Pollich I, Abra, jackal
Jonah Ziemann, Raticate, horse
Cheyenne Toy DDS, Primeape, giraffe
Bernie Gorczany, Kabuto, worm
Man Schaefer, Moltres, lion
Ms. Cruz Hahn, Kabutops, jellyfish
Dr. Vanesa Hyatt, Machoke, tiger
