Mr. Elva Batz, Rhydon, bat
Patrica Hilpert, Wigglytuff, dolphin
Shonda Davis, Primeape, jackal
Sharmaine Abbott, Ivysaur, giraffe
Elinore Krajcik, Sandslash, clam
Ashely Ledner, Jigglypuff, baboon
Steve Reichel, Goldeen, pig
Senaida Bins, Victreebel, panda
Kisha Greenholt, Weezing, hyena
Tory Hane, Fearow, guinea pig
Trevor Heathcote, Sandshrew, cricket
Sherika Stroman, Nidorina, elephant
Miss Nobuko O'Reilly, Omanyte, coyote
Miss Jonah Luettgen, Clefairy, alpaca
Mittie Bayer, Blastoise, gnat
Babara Crist, Nidoran, manatee
Faustina Predovic, Charmander, fox
Martina Lindgren, Diglett, dog
Dudley Wolf, Dewgong, beetle
Mr. Saturnina Schuppe, Vulpix, chinchilla
Abraham Grant, Dewgong, bee
Sergio Bode, Venomoth, squirrel
Mrs. Shemeka Miller, Farfetch'd, tiger
Fe Stiedemann, Rapidash, hedgehog
Min Konopelski, Gloom, snake
Terrance Prohaska, Kingler, fish
Adrian Schoen, Kingler, pug
Arlean O'Reilly, Jigglypuff, wallaby
Haywood Johnson, Ekans, cattle
Louella Boyer, Magnemite, ox
Carlyn Hickle, Mewtwo, sardine
Agustina Russel, Electabuzz, ant
Maureen Baumbach, Sandslash, crocodile
Ricardo Bode, Kingler, giraffe
Miss Elden Robel, Starmie, porpoise
Ronnie Shanahan, Weezing, hedgehog
Lynna Hodkiewicz, Bulbasaur, jellyfish
Jeff Hudson, Sandshrew, butterfly
Gaylord Nader, Flareon, ferret
Mrs. Lavonne Lind, Articuno, buffalo
Ms. Kurtis Nicolas, Nidoran, minnow
Miss Elvis Powlowski, Hitmonlee, coyote
Junita Bernhard, Machamp, wasp
Miss Wendell DuBuque, Nidorina, swan
Tisha Hettinger, Poliwag, duck
Mrs. Jenice Konopelski, Lapras, goldfish
Deandre Kassulke, Haunter, salmon
Olen Little, Kangaskhan, lizard
Miss Nelly Johnston, Magnemite, chinchilla
Ms. Karin Denesik, Omastar, wolf
