Jame Tillman DVM, Staryu, macaw
Elvin Romaguera, Shellder, eel
Miss Hwa Hodkiewicz, Wartortle, walrus
Maynard Stokes I, Raichu, mole
Desmond Yundt, Ditto, leopard
Ashly Bashirian, Wartortle, pug
Tyler Dicki, Tentacool, pig
Willetta Auer, Nidoran, trout
Mathew Osinski, Seel, spider
Domingo Conroy, Rhydon, swan
Clair Mayert, Aerodactyl, mule
Leonie Lang, Slowbro, hound
Sid Lindgren, Kingler, llama
Quiana Sawayn, Raticate, platypus
Katrina Farrell MD, Spearow, mammoth
Ms. Wilburn Senger, Victreebel, buffalo
Miss Malcolm Wilderman, Articuno, eagle
Miss Kenny Koelpin, Doduo, raccoon
Numbers Conroy, Mankey, tiger
Mr. Trenton Mohr, Pidgey, wolf
Jeana Bartell, Psyduck, mallard
Ms. Manie Heidenreich, Poliwhirl, weasel
Julietta Anderson DVM, Staryu, bat
Darren Prohaska, Goldeen, impala
Elvis Stiedemann MD, Diglett, grasshopper
Beatriz Jakubowski, Hypno, wombat
Racquel Spencer, Rhydon, koala
Emerson Brekke, Bellsprout, llama
Marty Roob, Oddish, yellowjacket
Alison Aufderhar, Weezing, marten
Lucio Reynolds, Cloyster, muskrat
Ms. Shaunte Von, Pidgey, dinosaur
Alphonse Rodriguez, Horsea, beaver
Chad Beier, Nidoqueen, minnow
Deandrea Romaguera, Golbat, duck
Lakeesha Upton, Bellsprout, prairie dog
Georgann Daugherty, Ponyta, rabbit
Isidro Heathcote, Rattata, gerbil
Mara Streich, Bulbasaur, hippopotamus
Dahlia Ryan I, Goldeen, rabbit
Joaquin Hills III, Doduo, badger
Britteny Anderson, Caterpie, wombat
Walker Gerhold, Chansey, marten
Yvonne Torp, Venusaur, baboon
Connie Wilderman, Charmander, porpoise
Oliver Bernhard V, Sandslash, spider
Dusty Halvorson II, Starmie, water buffalo
Ms. Ricarda Jones, Onix, louse
Bao Durgan, Machoke, worm
Tatyana Schimmel, Wartortle, seal
