Norris Monahan, Mew, frog
Jarvis Stiedemann, Magikarp, bee
Dannie Bradtke, Voltorb, prairie dog
Jeramy Treutel, Tauros, fish
Narcisa Abbott MD, Cloyster, guinea pig
Joanna King, Magikarp, rhinoceros
Vicente Schneider III, Articuno, mule
Latesha Kertzmann, Victreebel, yak
Cordelia Kuhlman, Slowpoke, mosquito
Luciano Mosciski, Seadra, fox
Leon Denesik, Chansey, hare
Patrick Toy, Magneton, cricket
Mrs. Benita Kulas, Hitmonlee, cricket
Anthony Yost V, Seel, swan
Myron Conn, Geodude, coyote
Kris McDermott, Meowth, llama
Lucilla Dibbert, Gloom, ferret
Jacquelynn Wintheiser, Koffing, giraffe
Wallace Champlin, Dewgong, elephant
Brant Blick, Tentacruel, manatee
Mr. Merry Anderson, Doduo, coyote
Tod Emmerich IV, Aerodactyl, eagle
Rodger Lehner PhD, Dewgong, cockroach
Allie Lebsack, Mankey, squirrel
Jessi Koss, Clefairy, beetle
Andreas Osinski MD, Zapdos, yellowjacket
Libbie Hayes Jr., Machoke, llama
Diana Hartmann, Nidorina, leopard
Caroline Lindgren, Golbat, swan
Alexia Beahan, Ivysaur, macaw
Benjamin Hane Jr., Seadra, panda
Desmond Rogahn III, Onix, alpaca
Dewayne Gottlieb, Gloom, baboon
Ms. Lynne Kessler, Muk, antelope
Al Kerluke, Farfetch'd, fish
Tai Lynch PhD, Sandslash, giraffe
Marion Schaden, Growlithe, cricket
Vivan Kovacek, Machoke, rabbit
Lawrence Mayert Jr., Sandshrew, eagle
Casey Mills, Lapras, snake
Mr. Enrique McLaughlin, Weepinbell, hound
Mrs. Broderick Fahey, Doduo, butterfly
Melvin Maggio, Parasect, toad
Deb Turner, Graveler, jackal
Trisha Rath DVM, Vaporeon, crow
Curtis Hauck V, Hitmonchan, elk
Bev Marquardt, Machop, yak
Shon Breitenberg, Ninetales, elk
Dacia Stamm, Tentacool, hyena
Miss Dodie Marquardt, Rattata, alpaca
