Fletcher Mosciski, Mewtwo, mole
Otha Altenwerth, Hypno, goldfish
Antony Oberbrunner, Machoke, giraffe
Brice Johnston, Electrode, mouse
Malika Lakin, Dewgong, otter
Humberto Reichel, Pinsir, mouse
Elden Stehr, Lapras, gnu
Brad Shanahan, Hitmonchan, beaver
Hai Romaguera, Bulbasaur, jellyfish
Miss Nicolle Durgan, Arbok, mammoth
Eliz Raynor, Nidoran, cheetah
Miss Blanca Goodwin, Moltres, armadillo
Mrs. Lawerence Brekke, Rapidash, sea lion
Lawana Ernser Sr., Hitmonlee, bear
Dee Toy, Gengar, woodchuck
Harland Hamill, Raichu, otter
Lane Schumm, Machop, walrus
Sheila Cole, Omastar, locust
Garth Franecki, Onix, lizard
Eilene Schulist, Gastly, skunk
Mrs. Thanh Lindgren, Snorlax, gorilla
Ashlie Harber, Kingler, platypus
Darin Waelchi, Rhyhorn, frog
Emanuel Douglas MD, Raichu, chimpanzee
Adriane Simonis I, Gengar, goat
Hector Dietrich, Golbat, oyster
Karol Boyle, Jynx, ape
Mrs. Lilliam Greenfelder, Butterfree, ferret
Nereida Block, Paras, marten
Miss Cordia Koelpin, Seel, chimpanzee
Mr. Francene Funk, Hypno, monkey
Ruthann Stokes, Magnemite, eel
Jessika Mills, Krabby, raven
Ms. Georgiann Witting, Pidgey, camel
Xiao Rogahn, Omastar, pig
Mrs. Rodrigo Shanahan, Raticate, camel
Anderson Rohan, Growlithe, lion
Felipe Berge, Haunter, prairie dog
Kendall Mann, Bulbasaur, macaw
Miss Valentina Stiedemann, Starmie, antelope
Refugio Hilpert, Dewgong, mallard
Waylon Streich, Gastly, raven
Mrs. Micheline Gutkowski, Poliwhirl, cricket
Dean Von, Tauros, salmon
Darin Raynor III, Omanyte, porpoise
Scarlet Abbott, Blastoise, armadillo
Ms. Latoria Kiehn, Weezing, scorpion
Nathanial Ernser, Slowpoke, sheep
Ms. Nu Muller, Staryu, oyster
Mr. Nickie Harris, Squirtle, wasp
