Shirleen Lehner, Hitmonchan, pig
Maryam Dibbert, Cubone, mosquito
Johnathon Kessler, Jigglypuff, mole
Stephani Howell, Graveler, wildebeest
Jena Heller, Marowak, cattle
Gerald Hills III, Dodrio, monkey
Dr. Jessika Schinner, Aerodactyl, badger
Mohammed Corwin IV, Farfetch'd, gorilla
Nelly Padberg, Hitmonlee, impala
Rosa MacGyver PhD, Pinsir, hippopotamus
Micheline Satterfield I, Cloyster, bee
Joette Swift, Psyduck, hyena
Josiah Kirlin, Metapod, crocodile
Erwin Schmitt, Snorlax, mink
Lesley Crooks, Meowth, goose
Hugh Bergstrom, Gyarados, baboon
James Jenkins Jr., Dodrio, bear
Arnoldo Beer MD, Electabuzz, louse
Mitchell Dickens, Chansey, bat
Tomas Cartwright, Ninetales, hornet
Rosanne Dicki, Grimer, elk
Miss Nidia Koch, Jigglypuff, prairie dog
Waylon Welch, Nidorina, coyote
Kati Lowe, Cloyster, mallard
Ms. Shannon Nitzsche, Doduo, otter
Vashti Schamberger, Ditto, weasel
Deirdre Wilderman II, Arcanine, minnow
Mike Howell, Raichu, mammoth
Ms. Evan Runte, Poliwhirl, hamster
Mrs. Ambrose Raynor, Starmie, goat
Clementina Daniel, Victreebel, bear
Mr. Boris Brekke, Seadra, fish
Mrs. Alonso Price, Porygon, frog
Miss Tonya Hilll, Butterfree, alpaca
Cedrick Kuphal II, Slowpoke, bat
Laurel Greenfelder, Mr. Mime, antelope
Houston Huels, Onix, badger
Ricardo Barton, Weepinbell, bat
Sal Sawayn, Flareon, porpoise
Filiberto Gibson, Porygon, otter
Kristyn Olson, Kakuna, wombat
Dr. Hai Koch, Charmeleon, llama
Pasquale Kuhn, Spearow, cod
Wendi Hettinger, Weedle, cricket
Deana Blanda, Shellder, wallaby
Alyce Bahringer Jr., Bellsprout, swan
Belle Keebler, Mankey, louse
Ms. Leroy Lakin, Raticate, horse
Vernon Gerhold, Articuno, mammoth
Fredrick Bogan PhD, Koffing, leopard
